#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 6.5612126E+000, 7.8259318E-001,-5.0000000E-001, 1.3154426E+003, 1.3900919E+003, 1.3688067E+003, 1.1956054E+003, 9.9620849E+002, 8.2140898E+002, 7.3847149E+001, 6.8169234E+001, 1.6084207E+002, 2.9146282E+002, 2.9552373E+002, 2.4689461E+002,-2.0500000E+001, 6.9561539E-009, 1.5547689E-008, 1.9804395E-008, 1.2203073E-006, 8.2130231E-006, 5.3187291E-009, 7.4829288E-009, 1.0589591E-008, 3.6186277E-006, 1.2469584E-005
 4.6000000E+000, 1.1421370E+001, 1.8876675E+000, 1.5000000E+000, 1.3202043E+003, 1.3851338E+003, 1.3777047E+003, 1.1939413E+003, 9.8728103E+002, 8.2230106E+002, 8.3199789E+001, 9.4563586E+001, 1.5959354E+002, 2.8901213E+002, 2.8897579E+002, 2.3869504E+002,-1.8450000E+001, 6.7147720E-007, 9.1973503E-007, 1.2926668E-006, 8.5999270E-005, 3.1108556E-004, 4.4830473E-007, 4.7005263E-007, 1.0524963E-006, 2.9899922E-004, 4.7510845E-004
 8.7000000E+000, 1.1413855E+001, 2.5938283E+000, 3.5000000E+000, 1.2926850E+003, 1.1236315E+003, 1.0164392E+003, 8.8951097E+002, 7.8031668E+002, 6.9073194E+002, 2.3331850E+002, 2.9768674E+002, 3.2573143E+002, 3.0530467E+002, 2.5698477E+002, 2.0774234E+002,-1.6400000E+001, 6.7147720E-007, 9.1973503E-007, 1.2926668E-006, 8.5999270E-005, 3.1108556E-004, 4.4830473E-007, 4.7005263E-007, 1.0524963E-006, 2.9899922E-004, 4.7510845E-004
 1.2800000E+001, 9.8788838E+000, 3.0765440E+000, 5.5000000E+000, 6.5402752E+002, 6.3494299E+002, 6.3749761E+002, 6.2062626E+002, 5.8594546E+002, 5.5521172E+002, 2.0094628E+002, 2.1959629E+002, 2.4595233E+002, 2.2662975E+002, 1.9447235E+002, 1.7020082E+002,-1.4350000E+001, 4.3990065E-005, 4.0330261E-005, 7.6491208E-005, 1.7378572E-003, 5.1119515E-003, 2.3185175E-005, 2.5301056E-005, 1.1920817E-004, 4.8839523E-003, 6.3505830E-003
 1.6900000E+001, 8.8172198E+000, 3.3763338E+000, 7.5000000E+000, 3.8288021E+002, 4.0329573E+002, 4.2692539E+002, 4.5145385E+002, 4.5488662E+002, 4.5141355E+002, 7.0252958E+001, 9.3160016E+001, 1.1680201E+002, 1.3522217E+002, 1.3395238E+002, 1.3161055E+002,-1.2300000E+001, 4.3990065E-005, 4.0330261E-005, 7.6491208E-005, 1.7378572E-003, 5.1119515E-003, 2.3185175E-005, 2.5301056E-005, 1.1920817E-004, 4.8839523E-003, 6.3505830E-003
 2.1000000E+001, 8.3524722E+000, 3.6706637E+000, 9.5000000E+000, 3.0937618E+002, 3.2159513E+002, 3.3690234E+002, 3.5542120E+002, 3.6362228E+002, 3.7738577E+002, 1.8835797E+001, 3.7416481E+001, 5.4827993E+001, 6.9466248E+001, 7.2477203E+001, 8.5433015E+001,-1.0250000E+001, 7.7526869E-004, 1.0901212E-003, 1.7819867E-003, 9.6184028E-003, 1.8494179E-002, 5.2461236E-004, 2.3049626E-003, 3.2705250E-003, 1.5706500E-002, 2.0143120E-002
 2.5100000E+001, 7.4352554E+000, 4.2246200E+000, 1.1500000E+001, 2.9667955E+002, 2.9949142E+002, 3.0419553E+002, 3.1263969E+002, 3.1504784E+002, 3.2426163E+002, 1.6884817E+000, 9.4726068E+000, 1.7988960E+001, 2.9743685E+001, 3.1435280E+001, 3.8830172E+001,-8.2000000E+000, 1.0578292E-002, 9.0275440E-003, 1.4377781E-002, 3.1233823E-002, 4.3857730E-002, 7.6598341E-003, 1.2013713E-002, 1.5243746E-002, 3.1752787E-002, 3.3918486E-002
 2.9200000E+001, 6.5399821E+000, 4.6524770E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.4981876E-002, 4.7433375E-002, 5.6937283E-002, 7.2564780E-002, 7.5746524E-002, 2.1836453E-002, 2.8413765E-002, 3.9949244E-002, 4.8497158E-002, 4.4384071E-002
 3.3300000E+001, 5.4501225E+000, 4.7544308E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.2366569E-001, 1.6796465E-001, 1.5634345E-001, 1.4028645E-001, 1.1066313E-001, 5.1392927E-002, 7.0459133E-002, 8.6875568E-002, 7.6143101E-002, 5.2588992E-002
 3.7400000E+001, 4.3249171E+000, 4.4750044E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.2865227E+000, 5.8853576E-001, 4.3971951E-001, 2.7360741E-001, 1.5166505E-001, 4.0844927E-001, 3.8135016E-001, 2.8668488E-001, 1.5517548E-001, 6.3264394E-002
