#cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
# x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
-2.0500000E+001, 6.9561539E-009, 1.5547689E-008, 1.9804395E-008, 1.2203073E-006, 8.2130231E-006, 5.3187291E-009, 7.4829288E-009, 1.0589591E-008, 3.6186277E-006, 1.2469584E-005
-1.8450000E+001, 6.7147720E-007, 9.1973503E-007, 1.2926668E-006, 8.5999270E-005, 3.1108556E-004, 4.4830473E-007, 4.7005263E-007, 1.0524963E-006, 2.9899922E-004, 4.7510845E-004
-1.6400000E+001, 6.7147720E-007, 9.1973503E-007, 1.2926668E-006, 8.5999270E-005, 3.1108556E-004, 4.4830473E-007, 4.7005263E-007, 1.0524963E-006, 2.9899922E-004, 4.7510845E-004
-1.4350000E+001, 4.3990065E-005, 4.0330261E-005, 7.6491208E-005, 1.7378572E-003, 5.1119515E-003, 2.3185175E-005, 2.5301056E-005, 1.1920817E-004, 4.8839523E-003, 6.3505830E-003
-1.2300000E+001, 4.3990065E-005, 4.0330261E-005, 7.6491208E-005, 1.7378572E-003, 5.1119515E-003, 2.3185175E-005, 2.5301056E-005, 1.1920817E-004, 4.8839523E-003, 6.3505830E-003
-1.0250000E+001, 7.7526869E-004, 1.0901212E-003, 1.7819867E-003, 9.6184028E-003, 1.8494179E-002, 5.2461236E-004, 2.3049626E-003, 3.2705250E-003, 1.5706500E-002, 2.0143120E-002
-8.2000000E+000, 1.0578292E-002, 9.0275440E-003, 1.4377781E-002, 3.1233823E-002, 4.3857730E-002, 7.6598341E-003, 1.2013713E-002, 1.5243746E-002, 3.1752787E-002, 3.3918486E-002
-6.1500000E+000, 5.4981876E-002, 4.7433375E-002, 5.6937283E-002, 7.2564780E-002, 7.5746524E-002, 2.1836453E-002, 2.8413765E-002, 3.9949244E-002, 4.8497158E-002, 4.4384071E-002
-4.1000000E+000, 2.2366569E-001, 1.6796465E-001, 1.5634345E-001, 1.4028645E-001, 1.1066313E-001, 5.1392927E-002, 7.0459133E-002, 8.6875568E-002, 7.6143101E-002, 5.2588992E-002
-2.0500000E+000, 1.2865227E+000, 5.8853576E-001, 4.3971951E-001, 2.7360741E-001, 1.5166505E-001, 4.0844927E-001, 3.8135016E-001, 2.8668488E-001, 1.5517548E-001, 6.3264394E-002
-2.0000000E-002, 1.8841608E+000, 1.8979898E+000, 1.7280853E+000, 5.6817310E-001, 1.9336688E-001, 9.9997338E-002, 1.9808605E-001, 4.2601734E-001, 4.0642965E-001, 7.9662271E-002
 2.0500000E+000, 1.2676511E+000, 6.5247435E-001, 4.6385528E-001, 2.6248916E-001, 1.5348068E-001, 4.6883425E-001, 5.0040953E-001, 3.3342156E-001, 1.5824566E-001, 5.8886803E-002
 4.1000000E+000, 2.2576944E-001, 1.7556666E-001, 1.5788333E-001, 1.4029013E-001, 1.1194015E-001, 6.5926995E-002, 9.7069206E-002, 9.7031063E-002, 7.7888663E-002, 5.0900159E-002
 6.1500000E+000, 5.7775885E-002, 5.2081717E-002, 5.9301886E-002, 7.5236073E-002, 7.4723241E-002, 2.7084901E-002, 3.4069147E-002, 4.2157059E-002, 4.9035856E-002, 4.5133211E-002
 8.2000000E+000, 1.1786847E-002, 9.2353212E-003, 1.6041542E-002, 3.3640747E-002, 4.4652165E-002, 9.3887649E-003, 1.1818996E-002, 1.9963685E-002, 3.0819348E-002, 3.5572565E-002
 1.0250000E+001, 8.2274189E-004, 8.6732298E-004, 2.4960868E-003, 1.0841079E-002, 1.8688136E-002, 6.9629746E-004, 1.2402340E-003, 5.6714481E-003, 1.6011112E-002, 2.0663333E-002
 1.2300000E+001, 3.7968224E-005, 3.3454589E-005, 1.0874296E-004, 1.6192722E-003, 6.1455947E-003, 1.6066835E-005, 1.4828841E-005, 2.9064493E-004, 3.5516120E-003, 8.7893449E-003
 1.4350000E+001, 3.7968224E-005, 3.3454589E-005, 1.0874296E-004, 1.6192722E-003, 6.1455947E-003, 1.6066835E-005, 1.4828841E-005, 2.9064493E-004, 3.5516120E-003, 8.7893449E-003
 1.6400000E+001, 4.9568897E-007, 6.6672064E-007, 1.6218593E-006, 6.9965279E-005, 5.1128584E-004, 1.9776661E-007, 2.2816977E-007, 3.0091701E-006, 1.6455307E-004, 9.2662234E-004
 1.8450000E+001, 4.9568897E-007, 6.6672064E-007, 1.6218593E-006, 6.9965279E-005, 5.1128584E-004, 1.9776661E-007, 2.2816977E-007, 3.0091701E-006, 1.6455307E-004, 9.2662234E-004
 2.0500000E+001, 4.6112627E-009, 1.1349292E-008, 1.8904164E-008, 1.0040709E-006, 1.1915515E-005, 1.9399206E-009, 3.6700852E-009, 1.5463946E-008, 1.5269382E-006, 1.7484874E-005
