#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 7.7661402E+000, 7.7972478E-001,-5.0000000E-001, 1.3012459E+003, 1.3776455E+003, 1.3505386E+003, 1.1192074E+003, 8.8584165E+002, 7.3026729E+002, 8.3605891E+001, 6.8281797E+001, 1.6156501E+002, 2.9214790E+002, 2.8720807E+002, 2.2928161E+002,-2.0500000E+001, 4.1881451E-009, 1.2077143E-008, 2.4575652E-008, 1.3471928E-006, 4.1736187E-005, 2.2724125E-009, 6.5383592E-009, 2.2133489E-008, 1.5816286E-006, 8.1327040E-005
 4.6000000E+000, 1.2485696E+001, 2.1517564E+000, 1.5000000E+000, 1.3068666E+003, 1.3818540E+003, 1.3513163E+003, 1.1233939E+003, 8.9778709E+002, 7.3804382E+002, 9.2711667E+001, 7.8908609E+001, 1.8145878E+002, 2.9990186E+002, 2.7929629E+002, 2.2319128E+002,-1.8450000E+001, 4.5378707E-007, 7.4704574E-007, 1.6843033E-006, 9.2568840E-005, 1.2675868E-003, 1.9365836E-007, 3.8287273E-007, 1.4859636E-006, 1.4453372E-004, 2.3699213E-003
 8.7000000E+000, 1.2177591E+001, 2.9782950E+000, 3.5000000E+000, 1.2674017E+003, 1.1133515E+003, 1.0013084E+003, 8.7365270E+002, 7.6081876E+002, 6.6299267E+002, 2.2877938E+002, 2.8958622E+002, 3.1917487E+002, 3.0585692E+002, 2.6134364E+002, 2.0882215E+002,-1.6400000E+001, 4.5378707E-007, 7.4704574E-007, 1.6843033E-006, 9.2568840E-005, 1.2675868E-003, 1.9365836E-007, 3.8287273E-007, 1.4859636E-006, 1.4453372E-004, 2.3699213E-003
 1.2800000E+001, 1.0554620E+001, 3.4765216E+000, 5.5000000E+000, 6.4630143E+002, 6.2651959E+002, 6.2500474E+002, 6.1866320E+002, 5.9363908E+002, 5.5495510E+002, 1.9714726E+002, 2.1066450E+002, 2.2911068E+002, 2.2897467E+002, 2.0466815E+002, 1.7183851E+002,-1.4350000E+001, 3.5162352E-005, 3.7212372E-005, 9.1360809E-005, 2.4242932E-003, 9.9156188E-003, 1.7233985E-005, 3.0365624E-005, 1.2124081E-004, 3.8188857E-003, 1.2523907E-002
 1.6900000E+001, 9.6011234E+000, 3.7648609E+000, 7.5000000E+000, 3.8685815E+002, 4.0649247E+002, 4.3084252E+002, 4.5712871E+002, 4.6821811E+002, 4.6223457E+002, 7.8797131E+001, 1.0597902E+002, 1.3373977E+002, 1.4641979E+002, 1.4770606E+002, 1.3621123E+002,-1.2300000E+001, 3.5162352E-005, 3.7212372E-005, 9.1360809E-005, 2.4242932E-003, 9.9156188E-003, 1.7233985E-005, 3.0365624E-005, 1.2124081E-004, 3.8188857E-003, 1.2523907E-002
 2.1000000E+001, 9.1301295E+000, 4.2463234E+000, 9.5000000E+000, 3.1163466E+002, 3.2477256E+002, 3.4164617E+002, 3.6669593E+002, 3.8599436E+002, 3.9475825E+002, 1.8849941E+001, 3.9330316E+001, 6.7026952E+001, 8.4475391E+001, 9.7374340E+001, 9.7754639E+001,-1.0250000E+001, 7.9117752E-004, 1.0006863E-003, 3.6796157E-003, 1.4339542E-002, 2.6207302E-002, 6.2957065E-004, 1.5454615E-003, 6.1831688E-003, 1.9466356E-002, 2.8660510E-002
 2.5100000E+001, 8.0911057E+000, 4.7410585E+000, 1.1500000E+001, 2.9611683E+002, 2.9897471E+002, 3.0638077E+002, 3.1553920E+002, 3.2873501E+002, 3.3916396E+002, 2.1873317E+000, 7.5395744E+000, 2.9742492E+001, 3.4990639E+001, 4.8563786E+001, 5.2428706E+001,-8.2000000E+000, 1.0773174E-002, 9.6053154E-003, 1.8901521E-002, 3.9634776E-002, 5.1805928E-002, 9.4763073E-003, 1.0265937E-002, 2.2098798E-002, 3.8385417E-002, 4.0893482E-002
 2.9200000E+001, 6.9757464E+000, 5.0766321E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.4560932E-002, 5.1877695E-002, 6.0790499E-002, 7.9954912E-002, 7.9133925E-002, 2.3129221E-002, 3.2763436E-002, 4.3055533E-002, 5.7097554E-002, 4.6755610E-002
 3.3300000E+001, 5.5789443E+000, 4.9959371E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.2673288E-001, 1.7307900E-001, 1.5741917E-001, 1.4827305E-001, 1.1259856E-001, 5.9058051E-002, 8.1552547E-002, 8.4170165E-002, 9.1454923E-002, 5.3477359E-002
 3.7400000E+001, 4.0424889E+000, 4.3017656E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.3008745E+000, 6.2431872E-001, 4.5927997E-001, 2.6274202E-001, 1.4466273E-001, 4.2334725E-001, 4.3235918E-001, 2.8914097E-001, 1.6558253E-001, 6.2067718E-002
 4.1500000E+001, 2.7025874E+000, 3.2553873E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 1.9283023E+000, 1.9315368E+000, 1.7221667E+000, 4.5251825E-001, 1.6809065E-001, 1.1337322E-001, 1.8814720E-001, 4.4618221E-001, 2.9359308E-001, 6.8024086E-002
 4.5600000E+001, 1.4212843E+000, 1.9639851E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.2562027E+000, 5.8287851E-001, 4.3557110E-001, 2.5273581E-001, 1.4637675E-001, 4.7354022E-001, 4.2693336E-001, 2.6531373E-001, 1.3533320E-001, 6.0162248E-002
 4.9700000E+001, 9.3504577E-001, 1.3432569E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 2.2747710E-001, 1.6970307E-001, 1.5340320E-001, 1.4100404E-001, 1.1339907E-001, 7.4930905E-002, 9.1138147E-002, 8.9571386E-002, 7.9381759E-002, 5.3743918E-002
 5.3800000E+001, 6.3264428E-001, 9.2028390E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 5.9839992E-002, 5.3603710E-002, 6.0332115E-002, 7.7849164E-002, 8.0783811E-002, 3.0426285E-002, 3.6329846E-002, 4.7419073E-002, 5.2193717E-002, 4.7192249E-002
 5.7900000E+001, 4.4564694E-001, 6.5243830E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 1.1495130E-002, 1.1197232E-002, 1.8866874E-002, 3.9625578E-002, 5.3501516E-002, 1.0255593E-002, 1.1536090E-002, 2.2464401E-002, 3.6265350E-002, 3.9427191E-002
 6.2000000E+001, 3.2924231E-001, 4.7448745E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 9.0280266E-004, 1.0641950E-003, 2.9873912E-003, 1.3563980E-002, 2.7924065E-002, 8.5312627E-004, 1.4316157E-003, 5.2737499E-003, 1.9102967E-002, 2.5578543E-002
 6.6100000E+001, 2.5423466E-001, 3.5473433E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 3.8436815E-005, 4.2173150E-005, 1.0056618E-004, 3.3965408E-003, 1.0137485E-002, 2.0695345E-005, 3.8945124E-005, 1.2310669E-004, 6.7646649E-003, 9.7390810E-003
 7.0200000E+001, 1.8532520E-001, 2.3653697E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4350000E+001, 3.8436815E-005, 4.2173150E-005, 1.0056618E-004, 3.3965408E-003, 1.0137485E-002, 2.0695345E-005, 3.8945124E-005, 1.2310669E-004, 6.7646649E-003, 9.7390810E-003
 7.4300000E+001, 1.5488478E-001, 1.8258224E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+001, 4.7503851E-007, 8.6697240E-007, 1.9908524E-006, 2.0013234E-004, 9.4277182E-004, 2.0960881E-007, 5.4351983E-007, 1.8610971E-006, 4.8370352E-004, 1.0820129E-003
 7.8400000E+001, 1.3383795E-001, 1.4461524E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8450000E+001, 4.7503851E-007, 8.6697240E-007, 1.9908524E-006, 2.0013234E-004, 9.4277182E-004, 2.0960881E-007, 5.4351983E-007, 1.8610971E-006, 4.8370352E-004, 1.0820129E-003
 8.2500000E+001, 1.1664818E-001, 1.1567267E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 3.5405346E-009, 1.2842496E-008, 2.8283289E-008, 3.7293302E-006, 2.7694099E-005, 1.6108308E-009, 7.8516965E-009, 1.7676252E-008, 6.2545658E-006, 2.9554272E-005
