#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 7.4373020E+000, 1.0920662E+000,-5.0000000E-001, 1.3298146E+003, 1.3984478E+003, 1.3829565E+003, 1.2051218E+003, 9.8761624E+002, 8.0883259E+002, 9.0506429E+001, 9.6156350E+001, 1.8024580E+002, 2.8772479E+002, 2.8858252E+002, 2.4199754E+002,-2.0500000E+001, 9.5196132E-009, 2.1642153E-008, 4.6508012E-008, 2.2134342E-006, 2.0294274E-005, 5.1029069E-009, 1.1929658E-008, 5.4098649E-008, 5.7577331E-006, 2.7095868E-005
 4.6000000E+000, 1.1355438E+001, 2.0148084E+000, 1.5000000E+000, 1.3282560E+003, 1.3948436E+003, 1.3842785E+003, 1.2113204E+003, 1.0050077E+003, 8.2288385E+002, 9.4384826E+001, 1.0685226E+002, 1.8190373E+002, 2.9255025E+002, 2.9781923E+002, 2.5026646E+002,-1.8450000E+001, 1.0305186E-006, 1.2609550E-006, 3.7378705E-006, 1.2858891E-004, 5.9104696E-004, 6.5281617E-007, 9.8009583E-007, 6.4231129E-006, 3.7938337E-004, 7.6225416E-004
 8.7000000E+000, 1.0915214E+001, 2.7025433E+000, 3.5000000E+000, 1.3066544E+003, 1.1374118E+003, 1.0181425E+003, 8.8601254E+002, 7.8868995E+002, 7.0420058E+002, 2.5990827E+002, 3.0153688E+002, 3.2849602E+002, 3.2738546E+002, 2.8084896E+002, 2.3542489E+002,-1.6400000E+001, 1.0305186E-006, 1.2609550E-006, 3.7378705E-006, 1.2858891E-004, 5.9104696E-004, 6.5281617E-007, 9.8009583E-007, 6.4231129E-006, 3.7938337E-004, 7.6225416E-004
 1.2800000E+001, 9.4161333E+000, 3.1276936E+000, 5.5000000E+000, 6.4796949E+002, 6.1499351E+002, 6.1185520E+002, 6.0440905E+002, 5.9007302E+002, 5.7278243E+002, 1.9810124E+002, 2.1274455E+002, 2.3523632E+002, 2.3947703E+002, 2.2159768E+002, 1.9573893E+002,-1.4350000E+001, 6.2757172E-005, 5.3504188E-005, 1.8645505E-004, 2.2648881E-003, 6.3691025E-003, 4.8141116E-005, 7.5585603E-005, 4.4195398E-004, 5.0961190E-003, 8.3144920E-003
 1.6900000E+001, 8.4020412E+000, 3.3061626E+000, 7.5000000E+000, 3.7972118E+002, 3.9439525E+002, 4.1291304E+002, 4.4595736E+002, 4.6155439E+002, 4.7044203E+002, 7.6687227E+001, 9.4430809E+001, 1.1590044E+002, 1.5329601E+002, 1.5505627E+002, 1.4733535E+002,-1.2300000E+001, 6.2757172E-005, 5.3504188E-005, 1.8645505E-004, 2.2648881E-003, 6.3691025E-003, 4.8141116E-005, 7.5585603E-005, 4.4195398E-004, 5.0961190E-003, 8.3144920E-003
 2.1000000E+001, 7.8235711E+000, 3.6655280E+000, 9.5000000E+000, 3.0909442E+002, 3.1842602E+002, 3.3125234E+002, 3.5570971E+002, 3.7431128E+002, 3.9015550E+002, 2.5580693E+001, 3.1712200E+001, 4.7001047E+001, 8.2698163E+001, 9.8797071E+001, 1.0002367E+002,-1.0250000E+001, 1.3563765E-003, 1.5431460E-003, 3.4845617E-003, 1.2854440E-002, 2.2430886E-002, 2.3010133E-003, 4.7602910E-003, 7.1822416E-003, 1.6937855E-002, 2.2821458E-002
 2.5100000E+001, 6.8715664E+000, 4.1314661E+000, 1.1500000E+001, 2.9603082E+002, 2.9740647E+002, 3.0043598E+002, 3.1127773E+002, 3.2466282E+002, 3.3209199E+002, 4.3984466E+000, 4.1386968E+000, 9.1473136E+000, 3.1464430E+001, 4.9735569E+001, 5.4939298E+001,-8.2000000E+000, 1.2599839E-002, 1.0416373E-002, 1.7822368E-002, 3.6553812E-002, 4.7328776E-002, 1.2948268E-002, 1.3931629E-002, 2.0454965E-002, 3.3773216E-002, 3.6501608E-002
 2.9200000E+001, 5.9399566E+000, 4.1342688E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.7628932E-002, 5.2057848E-002, 5.8418519E-002, 7.2475856E-002, 7.6187102E-002, 3.0941590E-002, 3.4801215E-002, 4.5332032E-002, 5.1910437E-002, 4.7349363E-002
 3.3300000E+001, 4.7632138E+000, 3.9845940E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.2689575E-001, 1.6904659E-001, 1.5472213E-001, 1.3605527E-001, 1.1007233E-001, 7.7241399E-002, 8.7216509E-002, 1.0109899E-001, 7.9338435E-002, 5.6248024E-002
 3.7400000E+001, 3.5539584E+000, 3.6436036E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.2290156E+000, 5.9253433E-001, 4.2763643E-001, 2.5519555E-001, 1.5071103E-001, 4.5374791E-001, 4.4033283E-001, 3.0206017E-001, 1.4129002E-001, 6.2143897E-002
 4.1500000E+001, 2.5210164E+000, 3.0803490E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 1.9414191E+000, 1.8863294E+000, 1.6438683E+000, 4.9353717E-001, 1.8447775E-001, 1.1738578E-001, 2.6834831E-001, 5.0093791E-001, 3.3453086E-001, 7.2588779E-002
