Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.046E+02, 3.454E+01, 9.634E+00, 4.217E+01, 3.435E+01, 2.276E+01, 2.222E+02, 0.000E+00, 6.580E+00, 4.314E-01, 1.271E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    1, 3.154E+02, 3.294E+01, 9.114E+00, 3.685E+01, 3.449E+01, 1.904E+01, 9.993E+01, 0.000E+00, 5.979E+00, 4.387E-01, 1.294E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    2, 3.208E+02, 3.298E+01, 9.127E+00, 3.697E+01, 3.448E+01, 1.911E+01, 9.835E+01, 0.000E+00, 6.089E+00, 4.366E-01, 1.290E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    3, 3.162E+02, 3.300E+01, 8.998E+00, 3.714E+01, 3.435E+01, 1.926E+01, 9.824E+01, 0.000E+00, 5.933E+00, 4.407E-01, 1.295E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    4, 3.158E+02, 3.380E+01, 9.584E+00, 4.276E+01, 3.520E+01, 2.120E+01, 1.048E+02, 0.000E+00, 6.124E+00, 4.179E-01, 1.279E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    5, 3.126E+02, 3.297E+01, 9.133E+00, 3.941E+01, 3.313E+01, 1.942E+01, 1.018E+02, 0.000E+00, 5.982E+00, 4.277E-01, 1.294E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    6, 3.156E+02, 3.238E+01, 8.629E+00, 3.563E+01, 3.330E+01, 1.769E+01, 9.817E+01, 0.000E+00, 6.036E+00, 4.904E-01, 1.301E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    7, 3.140E+02, 3.514E+01, 8.879E+00, 3.605E+01, 3.461E+01, 9.391E+01, 8.906E+01, 0.000E+00, 7.623E+00, 3.354E+00, 1.226E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    8, 3.161E+02, 3.233E+01, 8.644E+00, 3.648E+01, 3.299E+01, 1.775E+01, 1.185E+02, 0.000E+00, 6.037E+00, 4.930E-01, 1.279E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
    9, 3.284E+02, 3.306E+01, 9.097E+00, 4.028E+01, 3.355E+01, 1.942E+01, 1.114E+02, 0.000E+00, 6.010E+00, 4.398E-01, 1.267E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   10, 3.277E+02, 3.297E+01, 9.131E+00, 4.010E+01, 3.239E+01, 1.989E+01, 1.160E+02, 0.000E+00, 6.036E+00, 4.353E-01, 1.264E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   11, 3.176E+02, 3.526E+01, 8.956E+00, 3.638E+01, 3.612E+01, 9.593E+01, 1.074E+02, 0.000E+00, 7.531E+00, 3.569E+00, 1.200E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   12, 2.975E+02, 3.534E+01, 8.980E+00, 3.682E+01, 3.676E+01, 9.631E+01, 1.174E+02, 0.000E+00, 7.291E+00, 3.467E+00, 1.209E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   13, 3.151E+02, 3.324E+01, 9.101E+00, 3.971E+01, 3.413E+01, 1.946E+01, 1.087E+02, 0.000E+00, 6.045E+00, 4.545E-01, 1.283E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   14, 3.227E+02, 3.298E+01, 9.041E+00, 3.930E+01, 3.289E+01, 1.939E+01, 1.021E+02, 0.000E+00, 5.947E+00, 4.430E-01, 1.284E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   15, 3.275E+02, 3.232E+01, 8.455E+00, 3.521E+01, 3.363E+01, 1.792E+01, 8.146E+01, 0.000E+00, 5.954E+00, 4.912E-01, 1.305E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
