s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0492659E-003, 2.6960045E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0492659E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0096512E-001, 2.9605989E+000,-2.7340661E-001,-2.1086897E-002,-9.4753957E-002,-1.4996843E-004, 0.0000000E+000, 0.0000000E+000, 2.3837015E+000, 2.5712015E+000, 0.0000000E+000, 7.9372685E-005, 0.0000000E+000, 0.0000000E+000
 1.0014336E+000, 8.0392833E+000,-1.6108980E+000,-8.5299602E-001,-1.5742096E-001,-3.5143485E-004, 0.0000000E+000, 0.0000000E+000, 4.5951007E+000, 5.4176169E+000, 0.0000000E+000, 2.0065385E-004, 0.0000000E+000, 0.0000000E+000
 1.5003980E+000, 1.1730649E+001,-2.6964083E+000,-8.4532917E+000,-1.7734317E-001,-4.4802508E-004, 0.0000000E+000, 0.0000000E+000, 9.3389320E-002, 4.0315789E-001, 0.0000000E+000, 2.6929702E-004, 0.0000000E+000, 0.0000000E+000
 2.0009084E+000, 1.3376623E+001,-3.0763497E+000,-9.0070780E+000,-1.7217409E-001,-4.8473417E-004, 0.0000000E+000, 0.0000000E+000, 8.9352254E-001, 1.1205366E+000, 0.0000000E+000, 2.9973916E-004, 0.0000000E+000, 0.0000000E+000
 2.5007300E+000, 1.4019945E+001,-3.1156546E+000,-9.9261032E+000,-1.7898489E-001,-4.9717304E-004, 0.0000000E+000, 0.0000000E+000, 4.2043353E-001, 7.9870558E-001, 0.0000000E+000, 3.1183248E-004, 0.0000000E+000, 0.0000000E+000
 3.0015852E+000, 1.4436356E+001,-3.1974589E+000,-8.7004193E+000,-1.8153977E-001,-4.9940280E-004, 0.0000000E+000, 0.0000000E+000, 1.4389534E+000, 2.3564392E+000, 0.0000000E+000, 3.1640884E-004, 0.0000000E+000, 0.0000000E+000
 3.5002351E+000, 1.4592593E+001,-3.2666522E+000,-1.0832974E+001,-1.9192691E-001,-4.9895827E-004, 0.0000000E+000, 0.0000000E+000,-1.8819644E-001, 3.0054113E-001, 0.0000000E+000, 3.1810920E-004, 0.0000000E+000, 0.0000000E+000
 4.0018864E+000, 1.4282118E+001,-3.2256082E+000,-1.0975269E+001,-1.8721512E-001,-5.0115946E-004, 0.0000000E+000, 0.0000000E+000,-6.9047329E-001,-1.0647578E-001, 0.0000000E+000, 3.1873722E-004, 0.0000000E+000, 0.0000000E+000
 4.5000944E+000, 1.4819877E+001,-3.3769347E+000,-9.9450358E+000,-1.8177631E-001,-5.0375296E-004, 0.0000000E+000, 0.0000000E+000, 7.8485145E-001, 1.3156269E+000, 0.0000000E+000, 3.1896874E-004, 0.0000000E+000, 0.0000000E+000
 5.0012126E+000, 1.4346314E+001,-3.1539868E+000,-1.0309254E+001,-1.8304423E-001,-5.0587864E-004, 0.0000000E+000, 0.0000000E+000, 1.3139580E-001, 6.9952292E-001, 0.0000000E+000, 3.1905384E-004, 0.0000000E+000, 0.0000000E+000
 5.5013089E+000, 1.4642086E+001,-3.2917073E+000,-1.0340280E+001,-1.8970018E-001,-5.0148671E-004, 0.0000000E+000, 0.0000000E+000, 1.3695345E-001, 8.1989762E-001, 0.0000000E+000, 3.1908523E-004, 0.0000000E+000, 0.0000000E+000
 6.0011272E+000, 1.4663952E+001,-3.4393059E+000,-1.1028575E+001,-1.8394858E-001,-5.0568463E-004, 0.0000000E+000, 0.0000000E+000,-3.2292807E-001, 1.1616855E-002, 0.0000000E+000, 3.1909676E-004, 0.0000000E+000, 0.0000000E+000
 6.5003400E+000, 1.4461430E+001,-3.2920860E+000,-1.0232026E+001,-1.8450039E-001,-5.0326087E-004, 0.0000000E+000, 0.0000000E+000, 3.3138300E-001, 7.5231385E-001, 0.0000000E+000, 3.1910099E-004, 0.0000000E+000, 0.0000000E+000
 7.0007067E+000, 1.4626194E+001,-3.3567838E+000,-1.0342483E+001,-1.8960347E-001,-5.0622889E-004, 0.0000000E+000, 0.0000000E+000, 2.4699104E-001, 7.3681756E-001, 0.0000000E+000, 3.1910256E-004, 0.0000000E+000, 0.0000000E+000
 7.5018296E+000, 1.4517777E+001,-3.2472113E+000,-1.0041756E+001,-1.9475575E-001,-5.0739376E-004, 0.0000000E+000, 0.0000000E+000, 3.4178219E-001, 1.0335471E+000, 0.0000000E+000, 3.1910313E-004, 0.0000000E+000, 0.0000000E+000
 8.0005960E+000, 1.4591021E+001,-3.2444931E+000,-1.0687181E+001,-2.0277988E-001,-5.0562972E-004, 0.0000000E+000, 0.0000000E+000,-1.9392471E-001, 4.5606135E-001, 0.0000000E+000, 3.1910334E-004, 0.0000000E+000, 0.0000000E+000
 8.5009947E+000, 1.4450021E+001,-3.1355964E+000,-1.0062369E+001,-1.8153379E-001,-5.0303246E-004, 0.0000000E+000, 0.0000000E+000, 3.0293555E-001, 1.0700183E+000, 0.0000000E+000, 3.1910342E-004, 0.0000000E+000, 0.0000000E+000
 9.0017567E+000, 1.4823856E+001,-3.3895680E+000,-1.1220518E+001,-1.8721080E-001,-5.0822662E-004, 0.0000000E+000, 0.0000000E+000,-3.8983627E-001, 2.6050704E-002, 0.0000000E+000, 3.1910345E-004, 0.0000000E+000, 0.0000000E+000
 9.5018034E+000, 1.4341998E+001,-3.1908730E+000,-1.0385935E+001,-1.8024984E-001,-5.0129574E-004, 0.0000000E+000, 0.0000000E+000, 8.1069896E-002, 5.8443850E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.0001104E+001, 1.4527419E+001,-3.1264773E+000,-9.6408916E+000,-1.8380097E-001,-4.9804792E-004, 0.0000000E+000, 0.0000000E+000, 9.0135020E-001, 1.5757512E+000, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.0501644E+001, 1.4574136E+001,-3.2502779E+000,-1.1495383E+001,-1.8655658E-001,-5.0514661E-004, 0.0000000E+000, 0.0000000E+000,-9.2715106E-001,-3.5858643E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.1000227E+001, 1.4380022E+001,-3.1682378E+000,-1.0385629E+001,-1.8197246E-001,-5.0689279E-004, 0.0000000E+000, 0.0000000E+000, 1.3317188E-001, 6.4367556E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.1500341E+001, 1.4457909E+001,-3.2321874E+000,-1.1071699E+001,-1.8295594E-001,-5.0399762E-004, 0.0000000E+000, 0.0000000E+000,-5.3523985E-001,-2.9437063E-002, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.2001257E+001, 1.4391913E+001,-3.3080795E+000,-1.0312346E+001,-1.9008498E-001,-5.0208203E-004, 0.0000000E+000, 0.0000000E+000, 6.6566163E-002, 5.8090064E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.2500443E+001, 1.4685888E+001,-3.3751224E+000,-1.0640612E+001,-1.8288855E-001,-5.0127361E-004, 0.0000000E+000, 0.0000000E+000, 2.1501663E-002, 4.8676338E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.3001006E+001, 1.4603329E+001,-3.3718996E+000,-1.0461407E+001,-1.8059591E-001,-5.0376683E-004, 0.0000000E+000, 0.0000000E+000, 2.0007605E-001, 5.8892247E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.3500633E+001, 1.4551208E+001,-3.1930110E+000,-9.3417296E+000,-1.7781334E-001,-5.0482653E-004, 0.0000000E+000, 0.0000000E+000, 1.1003496E+000, 1.8381495E+000, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.4000660E+001, 1.4566165E+001,-3.3305190E+000,-1.1731621E+001,-1.8134827E-001,-5.0279001E-004, 0.0000000E+000, 0.0000000E+000,-1.2046910E+000,-6.7782582E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.4500698E+001, 1.4532221E+001,-3.2716771E+000,-1.0369424E+001,-1.7468058E-001,-5.0436756E-004, 0.0000000E+000, 0.0000000E+000, 3.5474294E-001, 7.1593503E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.5000153E+001, 1.4619026E+001,-3.2821018E+000,-1.0650454E+001,-1.8489178E-001,-5.0294423E-004, 0.0000000E+000, 0.0000000E+000,-3.3319897E-002, 5.0107546E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.5502043E+001, 1.4555114E+001,-3.2370918E+000,-1.0873726E+001,-1.8357914E-001,-5.0214466E-004, 0.0000000E+000, 0.0000000E+000,-1.2472273E-001, 2.6021442E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.6001352E+001, 1.4539662E+001,-3.2841204E+000,-1.0650750E+001,-1.8103638E-001,-5.0590996E-004, 0.0000000E+000, 0.0000000E+000, 2.7064485E-002, 4.2324896E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.6500372E+001, 1.4608335E+001,-3.3392965E+000,-1.0599643E+001,-1.8063964E-001,-5.0351637E-004, 0.0000000E+000, 0.0000000E+000,-4.2215326E-002, 4.8825319E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.7000454E+001, 1.4558439E+001,-3.3492193E+000,-1.0295748E+001,-1.8033078E-001,-5.0621515E-004, 0.0000000E+000, 0.0000000E+000, 2.2876517E-001, 7.3263424E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
