,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-10-23T12:27:07.907-06:00,   0.167E-01,   0.01668,   0.484E+01
      2,2021-10-23T12:27:08.431-06:00,   0.184E-01,   0.03503,   0.497E+01
      3,2021-10-23T12:27:09.082-06:00,   0.202E-01,   0.05522,   0.509E+01
      4,2021-10-23T12:27:09.370-06:00,   0.222E-01,   0.07743,   0.521E+01
      5,2021-10-23T12:27:09.622-06:00,   0.244E-01,   0.10185,   0.532E+01
      6,2021-10-23T12:27:09.933-06:00,   0.269E-01,   0.12872,   0.543E+01
      7,2021-10-23T12:27:10.207-06:00,   0.283E-01,   0.15697,   0.555E+01
      8,2021-10-23T12:27:10.494-06:00,   0.283E-01,   0.18523,   0.566E+01
      9,2021-10-23T12:27:10.790-06:00,   0.283E-01,   0.21348,   0.578E+01
     10,2021-10-23T12:27:11.090-06:00,   0.283E-01,   0.24173,   0.589E+01
     20,2021-10-23T12:27:14.084-06:00,   0.895E-02,   0.37098,   0.699E+01
     30,2021-10-23T12:27:16.435-06:00,   0.522E-02,   0.44109,   0.760E+01
     40,2021-10-23T12:27:18.420-06:00,   0.358E-02,   0.48194,   0.800E+01
     50,2021-10-23T12:27:20.179-06:00,   0.317E-02,   0.51365,   0.830E+01
     60,2021-10-23T12:27:22.150-06:00,   0.349E-02,   0.54600,   0.871E+01
     70,2021-10-23T12:27:24.034-06:00,   0.384E-02,   0.58368,   0.910E+01
     80,2021-10-23T12:27:26.005-06:00,   0.268E-02,   0.61571,   0.944E+01
     90,2021-10-23T12:27:28.045-06:00,   0.241E-02,   0.64170,   0.986E+01
    100,2021-10-23T12:27:29.821-06:00,   0.241E-02,   0.66581,   0.102E+02
    200,2021-10-23T12:27:49.053-06:00,   0.189E-02,   0.89164,   0.134E+02
    300,2021-10-23T12:28:08.098-06:00,   0.249E-02,   1.10341,   0.166E+02
    400,2021-10-23T12:28:26.698-06:00,   0.221E-02,   1.32489,   0.199E+02
    500,2021-10-23T12:28:45.221-06:00,   0.221E-02,   1.52025,   0.230E+02
    600,2021-10-23T12:29:04.741-06:00,   0.198E-02,   1.72204,   0.262E+02
    700,2021-10-23T12:29:23.406-06:00,   0.194E-02,   1.92327,   0.293E+02
    800,2021-10-23T12:29:41.818-06:00,   0.191E-02,   2.12239,   0.324E+02
    900,2021-10-23T12:30:00.054-06:00,   0.210E-02,   2.32406,   0.355E+02
