Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.325E+02, 3.909E+01, 1.121E+01, 4.847E+01, 3.905E+01, 2.684E+01, 2.325E+02, 0.000E+00, 1.525E-01, 4.833E-01, 1.440E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    1, 3.449E+02, 3.798E+01, 1.069E+01, 4.296E+01, 4.045E+01, 2.243E+01, 1.139E+02, 0.000E+00, 1.470E-01, 5.393E-01, 1.457E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    2, 3.509E+02, 3.774E+01, 1.077E+01, 4.318E+01, 3.997E+01, 2.231E+01, 1.139E+02, 0.000E+00, 1.489E-01, 5.195E-01, 1.451E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    3, 3.462E+02, 3.763E+01, 1.056E+01, 4.322E+01, 3.997E+01, 2.199E+01, 1.116E+02, 0.000E+00, 1.432E-01, 5.347E-01, 1.459E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    4, 3.470E+02, 3.861E+01, 1.124E+01, 4.948E+01, 4.039E+01, 2.435E+01, 1.139E+02, 0.000E+00, 1.503E-01, 4.956E-01, 1.445E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    5, 3.429E+02, 3.757E+01, 1.069E+01, 4.614E+01, 3.851E+01, 2.269E+01, 1.157E+02, 0.000E+00, 1.436E-01, 5.109E-01, 1.456E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    6, 3.477E+02, 3.703E+01, 1.025E+01, 4.198E+01, 3.893E+01, 2.064E+01, 1.152E+02, 0.000E+00, 1.360E-01, 5.745E-01, 1.458E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    7, 3.469E+02, 4.054E+01, 1.065E+01, 4.230E+01, 4.096E+01, 1.087E+02, 1.017E+02, 0.000E+00, 1.672E-01, 4.593E+00, 1.374E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    8, 3.481E+02, 3.691E+01, 1.027E+01, 4.326E+01, 3.845E+01, 2.058E+01, 1.405E+02, 0.000E+00, 1.381E-01, 5.866E-01, 1.432E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
    9, 3.593E+02, 3.790E+01, 1.065E+01, 4.776E+01, 3.885E+01, 2.228E+01, 1.328E+02, 0.000E+00, 1.437E-01, 5.196E-01, 1.421E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   10, 3.597E+02, 3.771E+01, 1.090E+01, 4.783E+01, 3.744E+01, 2.284E+01, 1.387E+02, 0.000E+00, 1.468E-01, 5.192E-01, 1.415E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   11, 3.546E+02, 4.015E+01, 1.075E+01, 4.301E+01, 4.263E+01, 1.109E+02, 1.205E+02, 0.000E+00, 1.618E-01, 4.452E+00, 1.344E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   12, 3.307E+02, 4.029E+01, 1.070E+01, 4.324E+01, 4.280E+01, 1.113E+02, 1.312E+02, 0.000E+00, 1.754E-01, 4.544E+00, 1.356E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   13, 3.441E+02, 3.800E+01, 1.075E+01, 4.658E+01, 3.962E+01, 2.243E+01, 1.259E+02, 0.000E+00, 1.463E-01, 5.222E-01, 1.443E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   14, 3.555E+02, 3.772E+01, 1.072E+01, 4.618E+01, 3.845E+01, 2.279E+01, 1.200E+02, 0.000E+00, 1.491E-01, 5.232E-01, 1.439E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   15, 3.586E+02, 3.714E+01, 1.025E+01, 4.136E+01, 3.943E+01, 2.080E+01, 9.404E+01, 0.000E+00, 1.437E-01, 6.036E-01, 1.468E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   16, 3.328E+02, 3.992E+01, 1.069E+01, 4.274E+01, 4.079E+01, 1.091E+02, 1.151E+02, 0.000E+00, 1.615E-01, 4.373E+00, 1.375E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   17, 3.444E+02, 3.696E+01, 1.024E+01, 4.186E+01, 3.907E+01, 2.067E+01, 1.115E+02, 0.000E+00, 1.367E-01, 5.990E-01, 1.465E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   18, 3.530E+02, 3.771E+01, 1.073E+01, 4.591E+01, 3.978E+01, 2.242E+01, 1.112E+02, 0.000E+00, 1.489E-01, 5.160E-01, 1.449E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   19, 3.608E+02, 3.829E+01, 1.127E+01, 4.847E+01, 3.928E+01, 2.421E+01, 9.359E+01, 0.000E+00, 1.518E-01, 4.877E-01, 1.454E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   20, 3.518E+02, 3.794E+01, 1.084E+01, 4.626E+01, 3.954E+01, 2.201E+01, 9.090E+01, 0.000E+00, 1.413E-01, 5.255E-01, 1.471E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   21, 3.426E+02, 3.778E+01, 1.089E+01, 4.588E+01, 4.032E+01, 2.205E+01, 1.026E+02, 0.000E+00, 1.467E-01, 5.300E-01, 1.468E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   22, 3.514E+02, 3.785E+01, 1.091E+01, 4.569E+01, 4.053E+01, 2.229E+01, 1.032E+02, 0.000E+00, 1.510E-01, 5.210E-01, 1.458E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   23, 3.620E+02, 3.854E+01, 1.123E+01, 4.961E+01, 4.118E+01, 2.450E+01, 9.733E+01, 0.000E+00, 1.531E-01, 5.268E-01, 1.446E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   24, 3.520E+02, 3.785E+01, 1.093E+01, 4.810E+01, 3.823E+01, 2.341E+01, 9.040E+01, 0.000E+00, 1.539E-01, 4.953E-01, 1.469E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   25, 3.538E+02, 3.734E+01, 1.043E+01, 4.365E+01, 3.959E+01, 2.131E+01, 1.011E+02, 0.000E+00, 1.411E-01, 5.302E-01, 1.463E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   26, 3.630E+02, 3.765E+01, 1.067E+01, 4.372E+01, 3.974E+01, 2.153E+01, 1.007E+02, 0.000E+00, 1.401E-01, 5.481E-01, 1.453E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   27, 3.721E+02, 3.719E+01, 1.048E+01, 4.360E+01, 3.940E+01, 2.126E+01, 9.008E+01, 0.000E+00, 1.426E-01, 5.233E-01, 1.456E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   28, 3.487E+02, 3.801E+01, 1.078E+01, 4.797E+01, 3.932E+01, 2.296E+01, 9.012E+01, 0.000E+00, 1.494E-01, 4.790E-01, 1.472E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   29, 3.487E+02, 3.725E+01, 1.054E+01, 4.438E+01, 3.830E+01, 2.178E+01, 9.715E+01, 0.000E+00, 1.462E-01, 5.042E-01, 1.472E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   30, 3.532E+02, 3.705E+01, 1.031E+01, 4.001E+01, 3.874E+01, 1.982E+01, 1.014E+02, 0.000E+00, 1.352E-01, 4.027E+00, 1.466E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   31, 3.659E+02, 4.183E+01, 1.085E+01, 4.125E+01, 3.979E+01, 1.089E+02, 9.550E+01, 0.000E+00, 1.732E-01, 2.041E+01, 1.346E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   32, 3.507E+02, 3.718E+01, 1.051E+01, 3.987E+01, 3.884E+01, 1.988E+01, 1.031E+02, 0.000E+00, 1.383E-01, 3.579E+00, 1.467E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   33, 3.544E+02, 3.728E+01, 1.049E+01, 4.341E+01, 3.914E+01, 2.141E+01, 9.460E+01, 0.000E+00, 1.374E-01, 5.117E-01, 1.469E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   34, 3.573E+02, 3.754E+01, 1.078E+01, 4.374E+01, 3.790E+01, 2.224E+01, 1.136E+02, 0.000E+00, 1.401E-01, 5.070E-01, 1.447E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   35, 3.511E+02, 4.206E+01, 1.091E+01, 4.019E+01, 4.168E+01, 1.114E+02, 1.103E+02, 0.000E+00, 1.780E-01, 2.142E+01, 1.342E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   36, 3.332E+02, 4.127E+01, 1.102E+01, 4.196E+01, 4.140E+01, 1.099E+02, 1.117E+02, 0.000E+00, 1.692E-01, 2.188E+01, 1.358E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   37, 3.407E+02, 3.774E+01, 1.081E+01, 4.453E+01, 3.982E+01, 2.162E+01, 1.053E+02, 0.000E+00, 1.435E-01, 5.184E-01, 1.470E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   38, 3.553E+02, 3.687E+01, 1.056E+01, 4.437E+01, 3.811E+01, 2.205E+01, 9.956E+01, 0.000E+00, 1.457E-01, 5.329E-01, 1.463E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
   39, 3.581E+02, 3.716E+01, 1.033E+01, 3.991E+01, 3.861E+01, 2.007E+01, 9.179E+01, 0.000E+00, 1.334E-01, 3.706E+00, 1.471E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.071E+03
