s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6960045E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6960045E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0218320E-001, 2.9957015E+000, 0.0000000E+000,-1.8977069E-002,-1.0476830E-001,-1.5087484E-004, 0.0000000E+000, 0.0000000E+000, 2.6487733E+000, 2.8718052E+000, 0.0000000E+000, 7.9500635E-005, 0.0000000E+000, 0.0000000E+000
 1.0010774E+000, 8.1824619E+000, 0.0000000E+000,-2.5013295E+000,-1.8311256E-001,-3.5173251E-004, 0.0000000E+000, 0.0000000E+000, 4.6462620E+000, 5.4976681E+000, 0.0000000E+000, 2.0072903E-004, 0.0000000E+000, 0.0000000E+000
 1.5003424E+000, 1.1732362E+001, 0.0000000E+000,-1.0350988E+001,-1.9698572E-001,-4.4993606E-004, 0.0000000E+000, 0.0000000E+000, 8.5164940E-001, 1.1839380E+000, 0.0000000E+000, 2.6926069E-004, 0.0000000E+000, 0.0000000E+000
 2.0009458E+000, 1.3599524E+001, 0.0000000E+000,-1.1459099E+001,-2.0711782E-001,-4.8795722E-004, 0.0000000E+000, 0.0000000E+000, 1.4138192E+000, 1.9328189E+000, 0.0000000E+000, 2.9973310E-004, 0.0000000E+000, 0.0000000E+000
 2.5007834E+000, 1.4016129E+001, 0.0000000E+000,-1.3143307E+001,-2.3747585E-001,-5.0560588E-004, 0.0000000E+000, 0.0000000E+000,-1.0281552E-001, 6.3484050E-001, 0.0000000E+000, 3.1183090E-004, 0.0000000E+000, 0.0000000E+000
 3.0011067E+000, 1.4382747E+001, 0.0000000E+000,-1.2759198E+001,-2.0884294E-001,-5.0899216E-004, 0.0000000E+000, 0.0000000E+000, 7.2208802E-001, 1.4141976E+000, 0.0000000E+000, 3.1640735E-004, 0.0000000E+000, 0.0000000E+000
 3.5016465E+000, 1.4539281E+001, 0.0000000E+000,-1.3070377E+001,-2.1003036E-001,-5.0257079E-004, 0.0000000E+000, 0.0000000E+000, 2.6031971E-001, 1.2583709E+000, 0.0000000E+000, 3.1810954E-004, 0.0000000E+000, 0.0000000E+000
 4.0012116E+000, 1.4414043E+001, 0.0000000E+000,-1.3595882E+001,-2.1991921E-001,-5.0364292E-004, 0.0000000E+000, 0.0000000E+000,-2.0747246E-001, 5.9773865E-001, 0.0000000E+000, 3.1873751E-004, 0.0000000E+000, 0.0000000E+000
 4.5001764E+000, 1.4695164E+001, 0.0000000E+000,-1.4204977E+001,-2.1578405E-001,-5.0527286E-004, 0.0000000E+000, 0.0000000E+000,-3.5260329E-001, 2.7389806E-001, 0.0000000E+000, 3.1896861E-004, 0.0000000E+000, 0.0000000E+000
 5.0005469E+000, 1.4566966E+001, 0.0000000E+000,-1.4235319E+001,-1.9883242E-001,-5.0826899E-004, 0.0000000E+000, 0.0000000E+000,-2.0818621E-001, 1.3230582E-001, 0.0000000E+000, 3.1905380E-004, 0.0000000E+000, 0.0000000E+000
 5.5012946E+000, 1.4405574E+001, 0.0000000E+000,-1.3012520E+001,-2.1746894E-001,-5.0708435E-004, 0.0000000E+000, 0.0000000E+000, 2.8905180E-001, 1.1750770E+000, 0.0000000E+000, 3.1908521E-004, 0.0000000E+000, 0.0000000E+000
 6.0003929E+000, 1.4620117E+001, 0.0000000E+000,-1.3281980E+001,-2.1521311E-001,-5.0698153E-004, 0.0000000E+000, 0.0000000E+000, 3.0788343E-001, 1.1224172E+000, 0.0000000E+000, 3.1909675E-004, 0.0000000E+000, 0.0000000E+000
 6.5000763E+000, 1.4737905E+001, 0.0000000E+000,-1.3568499E+001,-2.1552659E-001,-5.1004763E-004, 0.0000000E+000, 0.0000000E+000, 2.7693391E-001, 9.5336889E-001, 0.0000000E+000, 3.1910099E-004, 0.0000000E+000, 0.0000000E+000
 7.0014052E+000, 1.4256704E+001, 0.0000000E+000,-1.2132212E+001,-2.1401347E-001,-5.0275438E-004, 0.0000000E+000, 0.0000000E+000, 6.9717027E-001, 1.9099755E+000, 0.0000000E+000, 3.1910256E-004, 0.0000000E+000, 0.0000000E+000
 7.5010371E+000, 1.4620526E+001, 0.0000000E+000,-1.4647722E+001,-2.4391093E-001,-5.1248694E-004, 0.0000000E+000, 0.0000000E+000,-1.0311979E+000,-2.7161919E-001, 0.0000000E+000, 3.1910313E-004, 0.0000000E+000, 0.0000000E+000
 8.0000172E+000, 1.4500221E+001, 0.0000000E+000,-1.3880943E+001,-2.1541549E-001,-5.0795488E-004, 0.0000000E+000, 0.0000000E+000,-4.6302434E-001, 4.0335406E-001, 0.0000000E+000, 3.1910334E-004, 0.0000000E+000, 0.0000000E+000
 8.5000582E+000, 1.4430345E+001, 0.0000000E+000,-1.2867509E+001,-2.1862622E-001,-5.1242684E-004, 0.0000000E+000, 0.0000000E+000, 4.3347496E-001, 1.3436965E+000, 0.0000000E+000, 3.1910342E-004, 0.0000000E+000, 0.0000000E+000
 9.0013018E+000, 1.4532542E+001, 0.0000000E+000,-1.3438541E+001,-2.1955563E-001,-5.0546330E-004, 0.0000000E+000, 0.0000000E+000, 7.6454275E-003, 8.7393991E-001, 0.0000000E+000, 3.1910345E-004, 0.0000000E+000, 0.0000000E+000
 9.5004778E+000, 1.4738254E+001, 0.0000000E+000,-1.3676249E+001,-2.1725131E-001,-5.1252184E-004, 0.0000000E+000, 0.0000000E+000, 2.0106924E-001, 8.4424061E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.0000604E+001, 1.4414945E+001, 0.0000000E+000,-1.3163221E+001,-2.1619986E-001,-5.0825057E-004, 0.0000000E+000, 0.0000000E+000, 6.1156675E-002, 1.0350159E+000, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.0500671E+001, 1.4600963E+001, 0.0000000E+000,-1.4613100E+001,-2.1195998E-001,-5.0914144E-004, 0.0000000E+000, 0.0000000E+000,-1.1000139E+000,-2.2460552E-001, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
 1.1000382E+001, 1.4721821E+001, 0.0000000E+000,-1.3259170E+001,-2.0861526E-001,-5.1279005E-004, 0.0000000E+000, 0.0000000E+000, 5.8951749E-001, 1.2535231E+000, 0.0000000E+000, 3.1910346E-004, 0.0000000E+000, 0.0000000E+000
