,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-10-23T11:48:45.065-06:00,   0.167E-01,   0.01668,   0.336E+00
      2,2021-10-23T11:48:45.645-06:00,   0.184E-01,   0.03503,   0.458E+00
      3,2021-10-23T11:48:46.323-06:00,   0.202E-01,   0.05522,   0.580E+00
      4,2021-10-23T11:48:46.615-06:00,   0.222E-01,   0.07743,   0.699E+00
      5,2021-10-23T11:48:46.890-06:00,   0.244E-01,   0.10185,   0.812E+00
      6,2021-10-23T11:48:47.187-06:00,   0.269E-01,   0.12872,   0.929E+00
      7,2021-10-23T11:48:47.460-06:00,   0.283E-01,   0.15697,   0.104E+01
      8,2021-10-23T11:48:47.750-06:00,   0.283E-01,   0.18523,   0.116E+01
      9,2021-10-23T11:48:48.033-06:00,   0.283E-01,   0.21348,   0.127E+01
     10,2021-10-23T11:48:48.333-06:00,   0.283E-01,   0.24173,   0.139E+01
     20,2021-10-23T11:48:51.313-06:00,   0.842E-02,   0.36850,   0.249E+01
     30,2021-10-23T11:48:53.491-06:00,   0.423E-02,   0.43197,   0.300E+01
     40,2021-10-23T11:48:55.367-06:00,   0.312E-02,   0.46765,   0.340E+01
     50,2021-10-23T11:48:57.110-06:00,   0.280E-02,   0.49659,   0.369E+01
     60,2021-10-23T11:48:58.949-06:00,   0.338E-02,   0.52626,   0.409E+01
     70,2021-10-23T11:49:00.782-06:00,   0.372E-02,   0.56247,   0.448E+01
     80,2021-10-23T11:49:02.668-06:00,   0.255E-02,   0.59398,   0.479E+01
     90,2021-10-23T11:49:04.446-06:00,   0.255E-02,   0.61948,   0.510E+01
    100,2021-10-23T11:49:06.440-06:00,   0.204E-02,   0.64139,   0.551E+01
    200,2021-10-23T11:49:24.308-06:00,   0.179E-02,   0.84355,   0.855E+01
    300,2021-10-23T11:49:42.916-06:00,   0.189E-02,   1.03167,   0.115E+02
    400,2021-10-23T11:50:00.717-06:00,   0.167E-02,   1.22095,   0.145E+02
    500,2021-10-23T11:50:18.597-06:00,   0.159E-02,   1.40461,   0.174E+02
    600,2021-10-23T11:50:36.675-06:00,   0.168E-02,   1.58526,   0.204E+02
    700,2021-10-23T11:50:55.256-06:00,   0.171E-02,   1.74689,   0.232E+02
    800,2021-10-23T11:51:12.760-06:00,   0.185E-02,   1.92437,   0.261E+02
    900,2021-10-23T11:51:30.502-06:00,   0.179E-02,   2.09198,   0.290E+02
   1000,2021-10-23T11:51:48.236-06:00,   0.161E-02,   2.26681,   0.319E+02
   1100,2021-10-23T11:52:06.099-06:00,   0.153E-02,   2.43766,   0.347E+02
   1200,2021-10-23T11:52:24.785-06:00,   0.176E-02,   2.61842,   0.377E+02
   1300,2021-10-23T11:52:42.668-06:00,   0.176E-02,   2.79394,   0.406E+02
   1400,2021-10-23T11:53:00.347-06:00,   0.160E-02,   2.95794,   0.435E+02
   1500,2021-10-23T11:53:17.909-06:00,   0.153E-02,   3.13411,   0.463E+02
   1600,2021-10-23T11:53:35.900-06:00,   0.161E-02,   3.30093,   0.493E+02
   1700,2021-10-23T11:53:53.891-06:00,   0.151E-02,   3.47361,   0.522E+02
   1800,2021-10-23T11:54:12.022-06:00,   0.157E-02,   3.64855,   0.551E+02
   1900,2021-10-23T11:54:30.281-06:00,   0.186E-02,   3.81023,   0.580E+02
   2000,2021-10-23T11:54:48.394-06:00,   0.169E-02,   3.97215,   0.609E+02
   2100,2021-10-23T11:55:06.320-06:00,   0.162E-02,   4.14501,   0.639E+02
   2200,2021-10-23T11:55:24.364-06:00,   0.170E-02,   4.32125,   0.668E+02
   2300,2021-10-23T11:55:42.690-06:00,   0.177E-02,   4.50371,   0.698E+02
   2400,2021-10-23T11:56:00.759-06:00,   0.165E-02,   4.66829,   0.727E+02
   2500,2021-10-23T11:56:19.583-06:00,   0.175E-02,   4.81996,   0.755E+02
   2600,2021-10-23T11:56:37.747-06:00,   0.150E-02,   4.99724,   0.785E+02
   2700,2021-10-23T11:56:56.198-06:00,   0.160E-02,   5.17359,   0.815E+02
   2800,2021-10-23T11:57:13.807-06:00,   0.153E-02,   5.33909,   0.843E+02
   2900,2021-10-23T11:57:31.845-06:00,   0.161E-02,   5.50614,   0.873E+02
   3000,2021-10-23T11:57:49.796-06:00,   0.153E-02,   5.67776,   0.902E+02
   3100,2021-10-23T11:58:07.569-06:00,   0.159E-02,   5.84003,   0.931E+02
   3200,2021-10-23T11:58:26.056-06:00,   0.185E-02,   6.00966,   0.960E+02
   3300,2021-10-23T11:58:44.053-06:00,   0.156E-02,   6.19148,   0.989E+02
   3400,2021-10-23T11:59:02.060-06:00,   0.158E-02,   6.35725,   0.102E+03
   3500,2021-10-23T11:59:20.067-06:00,   0.170E-02,   6.52219,   0.105E+03
   3600,2021-10-23T11:59:37.799-06:00,   0.181E-02,   6.68980,   0.108E+03
   3700,2021-10-23T11:59:55.497-06:00,   0.178E-02,   6.86480,   0.111E+03
   3800,2021-10-23T12:00:13.606-06:00,   0.166E-02,   7.02131,   0.113E+03
   3900,2021-10-23T12:00:32.172-06:00,   0.178E-02,   7.19737,   0.116E+03
   4000,2021-10-23T12:00:50.238-06:00,   0.182E-02,   7.36712,   0.119E+03
   4100,2021-10-23T12:01:08.129-06:00,   0.173E-02,   7.52414,   0.122E+03
   4200,2021-10-23T12:01:25.883-06:00,   0.171E-02,   7.69111,   0.125E+03
   4300,2021-10-23T12:01:44.044-06:00,   0.160E-02,   7.85314,   0.128E+03
   4400,2021-10-23T12:02:02.171-06:00,   0.174E-02,   8.02441,   0.131E+03
   4500,2021-10-23T12:02:20.955-06:00,   0.184E-02,   8.19144,   0.134E+03
   4600,2021-10-23T12:02:39.021-06:00,   0.181E-02,   8.37219,   0.137E+03
   4700,2021-10-23T12:02:56.832-06:00,   0.192E-02,   8.54117,   0.140E+03
   4800,2021-10-23T12:03:15.134-06:00,   0.171E-02,   8.72377,   0.143E+03
   4900,2021-10-23T12:03:33.475-06:00,   0.161E-02,   8.90441,   0.146E+03
   5000,2021-10-23T12:03:51.610-06:00,   0.188E-02,   9.07889,   0.149E+03
   5100,2021-10-23T12:04:09.957-06:00,   0.191E-02,   9.24551,   0.152E+03
   5200,2021-10-23T12:04:28.720-06:00,   0.190E-02,   9.42724,   0.155E+03
   5300,2021-10-23T12:04:46.993-06:00,   0.172E-02,   9.61042,   0.158E+03
   5400,2021-10-23T12:05:05.416-06:00,   0.163E-02,   9.79025,   0.161E+03
   5500,2021-10-23T12:05:23.199-06:00,   0.163E-02,   9.95332,   0.163E+03
   5600,2021-10-23T12:05:41.715-06:00,   0.169E-02,  10.11772,   0.166E+03
   5700,2021-10-23T12:05:59.618-06:00,   0.144E-02,  10.28830,   0.169E+03
   5800,2021-10-23T12:06:18.434-06:00,   0.157E-02,  10.44696,   0.172E+03
   5900,2021-10-23T12:06:36.521-06:00,   0.186E-02,  10.61414,   0.175E+03
