#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 0.0000000E+000, 0.0000000E+000,-5.0000000E-001, 1.7880144E+003, 1.9100349E+003, 1.8494370E+003, 1.4500568E+003, 1.1083616E+003, 8.7793647E+002, 9.0858867E+001, 1.3032212E+002, 3.1165518E+002, 4.7200496E+002, 4.0450011E+002, 2.9807530E+002,-2.0500000E+001, 1.3736096E-008, 4.3301955E-008, 4.2218941E-007, 1.6172798E-005, 8.0033067E-005, 5.8223478E-009, 1.9408190E-008, 1.1849035E-006, 1.1649616E-005, 1.2996899E-004
 4.6000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5000000E+000, 1.7959387E+003, 1.8880313E+003, 1.7932212E+003, 1.4298090E+003, 1.0821199E+003, 8.5618431E+002, 1.0190397E+002, 2.0954201E+002, 3.9540674E+002, 4.8684368E+002, 4.1491893E+002, 3.1136122E+002,-1.8450000E+001, 1.1149701E-006, 1.9193570E-006, 2.9749745E-005, 5.2287660E-004, 1.6248508E-003, 3.7589742E-007, 9.0728248E-007, 1.0870848E-004, 4.8888704E-004, 2.3012299E-003
 8.7000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5000000E+000, 1.6251851E+003, 1.3968938E+003, 1.2603424E+003, 1.0728747E+003, 8.8970695E+002, 7.5451647E+002, 3.6191208E+002, 4.7239416E+002, 5.0444252E+002, 4.5754389E+002, 3.9124391E+002, 3.0229933E+002,-1.6400000E+001, 1.1149701E-006, 1.9193570E-006, 2.9749745E-005, 5.2287660E-004, 1.6248508E-003, 3.7589742E-007, 9.0728248E-007, 1.0870848E-004, 4.8888704E-004, 2.3012299E-003
 1.2800000E+001, 0.0000000E+000, 0.0000000E+000, 5.5000000E+000, 7.7736947E+002, 7.6646379E+002, 7.7784803E+002, 7.4553793E+002, 6.8867338E+002, 6.3260777E+002, 2.9773480E+002, 3.5172841E+002, 3.8067408E+002, 3.5420775E+002, 3.0206446E+002, 2.5087069E+002,-1.4350000E+001, 6.3740558E-005, 8.0375365E-005, 6.8948278E-004, 6.1133675E-003, 9.7511498E-003, 2.5441236E-005, 8.1293684E-005, 2.2681489E-003, 7.1565991E-003, 8.3611611E-003
 1.6900000E+001, 0.0000000E+000, 0.0000000E+000, 7.5000000E+000, 4.3286067E+002, 4.6904198E+002, 5.0492362E+002, 5.2418985E+002, 5.2034721E+002, 5.1060629E+002, 1.2753579E+002, 1.7313240E+002, 2.0708994E+002, 2.3006656E+002, 2.0338709E+002, 1.8850850E+002,-1.2300000E+001, 6.3740558E-005, 8.0375365E-005, 6.8948278E-004, 6.1133675E-003, 9.7511498E-003, 2.5441236E-005, 8.1293684E-005, 2.2681489E-003, 7.1565991E-003, 8.3611611E-003
 2.1000000E+001, 0.0000000E+000, 0.0000000E+000, 9.5000000E+000, 3.2305647E+002, 3.4809028E+002, 3.7513187E+002, 4.0008220E+002, 4.1152397E+002, 4.1449166E+002, 4.2356299E+001, 7.3369084E+001, 9.4323562E+001, 1.2699951E+002, 1.3062308E+002, 1.2882448E+002,-1.0250000E+001, 1.6959537E-003, 2.4716718E-003, 6.0959092E-003, 2.0377295E-002, 2.9132192E-002, 1.9901754E-003, 4.6334343E-003, 1.2541936E-002, 2.0940646E-002, 2.1918463E-002
 2.5100000E+001, 0.0000000E+000, 0.0000000E+000, 1.1500000E+001, 2.9678228E+002, 3.0404252E+002, 3.1486714E+002, 3.2974146E+002, 3.3814767E+002, 3.4505709E+002, 6.3712064E+000, 2.0453914E+001, 3.1080157E+001, 5.3110592E+001, 6.3565457E+001, 6.4312537E+001,-8.2000000E+000, 1.7195319E-002, 1.8090669E-002, 2.6079783E-002, 4.6283040E-002, 5.3743720E-002, 1.5147086E-002, 1.9598474E-002, 2.6903246E-002, 3.3885898E-002, 3.2294311E-002
 2.9200000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 8.0277038E-002, 6.8363152E-002, 7.2444784E-002, 8.1777759E-002, 7.7739041E-002, 3.4074838E-002, 4.1094616E-002, 4.6634713E-002, 4.9158044E-002, 3.7663456E-002
 3.3300000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.6447762E-001, 1.9703497E-001, 1.6803777E-001, 1.2986518E-001, 9.9728270E-002, 8.2273591E-002, 8.8595103E-002, 9.2753436E-002, 7.0703704E-002, 4.0316613E-002
 3.7400000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.3030247E+000, 6.8044530E-001, 4.5924955E-001, 2.1344186E-001, 1.1956117E-001, 3.7863433E-001, 4.3219370E-001, 2.9895943E-001, 1.2180486E-001, 3.8623611E-002
 4.1500000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 2.0361890E+000, 1.7345963E+000, 1.3617427E+000, 3.1149020E-001, 1.3245213E-001, 1.1796439E-001, 2.3008982E-001, 3.7071733E-001, 1.8663687E-001, 3.8445488E-002
 4.5600000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.2676515E+000, 6.2165193E-001, 4.3669133E-001, 2.1158340E-001, 1.1638890E-001, 3.6814229E-001, 4.1623045E-001, 3.0833074E-001, 1.5305256E-001, 4.7857870E-002
 4.9700000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 2.6232446E-001, 1.9281075E-001, 1.6664521E-001, 1.2979614E-001, 9.7061706E-002, 7.9139710E-002, 9.6611257E-002, 1.0477481E-001, 7.0932166E-002, 4.4214949E-002
 5.3800000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 7.8434279E-002, 6.9231328E-002, 7.4808094E-002, 7.9054485E-002, 7.3324627E-002, 3.3626350E-002, 4.4670096E-002, 5.2445910E-002, 4.8880543E-002, 3.8038010E-002
 5.7900000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 1.6016027E-002, 1.7808193E-002, 2.8189443E-002, 4.4367094E-002, 4.8672364E-002, 1.3250241E-002, 1.9608806E-002, 2.8818096E-002, 3.5946846E-002, 3.2192729E-002
 6.2000000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 1.4747868E-003, 2.5001098E-003, 6.7109584E-003, 1.9075078E-002, 2.5733460E-002, 1.3477875E-003, 4.1902997E-003, 1.1103236E-002, 2.0941934E-002, 2.1673538E-002
 6.6100000E+001, 0.0000000E+000, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 6.3962190E-005, 1.0546650E-004, 4.0996237E-004, 5.2170844E-003, 1.0724823E-002, 3.0963128E-005, 1.1839846E-004, 5.3601380E-004, 5.3088707E-003, 1.1357836E-002
