# cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
# z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.2904875E+001, 1.0267762E+000,-5.0000000E-001, 1.2909217E+003, 1.3627716E+003, 1.3618807E+003, 1.1805853E+003, 9.6006659E+002, 7.7458386E+002, 8.1604214E+001, 8.1509547E+001, 1.7184574E+002, 2.8345528E+002, 2.8841851E+002, 2.4441670E+002,-2.0500000E+001, 4.6904742E-009, 1.3741371E-008, 2.2283831E-008, 1.1571940E-006, 9.8019635E-006, 1.9795015E-009, 9.1789229E-009, 1.4948322E-008, 2.3008612E-006, 1.4008462E-005
 4.6000000E+000, 1.3770100E+001, 1.9062043E+000, 1.5000000E+000, 1.2986478E+003, 1.3656879E+003, 1.3576470E+003, 1.1416327E+003, 9.1454613E+002, 7.4315493E+002, 7.7030326E+001, 6.8804658E+001, 1.6090704E+002, 2.8122861E+002, 2.8529952E+002, 2.3000981E+002,-1.8450000E+001, 5.2913769E-007, 8.6076418E-007, 1.4673635E-006, 7.0590152E-005, 5.0540779E-004, 2.2369190E-007, 5.5747302E-007, 1.5510993E-006, 1.3594881E-004, 9.2678446E-004
 8.7000000E+000, 1.2239574E+001, 2.8305975E+000, 3.5000000E+000, 1.3170995E+003, 1.1368963E+003, 1.0220758E+003, 8.6805431E+002, 7.4325304E+002, 6.4131763E+002, 1.9157451E+002, 2.7809189E+002, 3.1089544E+002, 2.9432294E+002, 2.4466215E+002, 1.9484409E+002,-1.6400000E+001, 5.2913769E-007, 8.6076418E-007, 1.4673635E-006, 7.0590152E-005, 5.0540779E-004, 2.2369190E-007, 5.5747302E-007, 1.5510993E-006, 1.3594881E-004, 9.2678446E-004
 1.2800000E+001, 9.9898889E+000, 3.2380415E+000, 5.5000000E+000, 6.5444526E+002, 6.2900829E+002, 6.3850451E+002, 6.3053876E+002, 5.9441249E+002, 5.4953554E+002, 1.9231443E+002, 2.1552191E+002, 2.3841856E+002, 2.4293812E+002, 2.1286206E+002, 1.7526772E+002,-1.4350000E+001, 4.2123943E-005, 4.0056313E-005, 8.4655925E-005, 1.6789529E-003, 6.3101562E-003, 2.1565286E-005, 2.7755379E-005, 1.4838384E-004, 2.7284103E-003, 8.6556493E-003
 1.6900000E+001, 8.7257180E+000, 3.3994953E+000, 7.5000000E+000, 3.8840283E+002, 4.0793172E+002, 4.3104060E+002, 4.6128069E+002, 4.7067544E+002, 4.6450699E+002, 7.8462599E+001, 1.0207193E+002, 1.2463951E+002, 1.4465835E+002, 1.5224261E+002, 1.4070509E+002,-1.2300000E+001, 4.2123943E-005, 4.0056313E-005, 8.4655925E-005, 1.6789529E-003, 6.3101562E-003, 2.1565286E-005, 2.7755379E-005, 1.4838384E-004, 2.7284103E-003, 8.6556493E-003
 2.1000000E+001, 8.1225537E+000, 3.6192587E+000, 9.5000000E+000, 3.1309811E+002, 3.2634098E+002, 3.4183243E+002, 3.6433748E+002, 3.8017704E+002, 3.9104184E+002, 2.4680548E+001, 4.0733254E+001, 5.9488873E+001, 8.2446901E+001, 9.4262606E+001, 9.9674297E+001,-1.0250000E+001, 1.0963096E-003, 1.0478575E-003, 2.6584587E-003, 1.1325501E-002, 1.8589221E-002, 1.0659273E-003, 1.6525891E-003, 6.6729110E-003, 1.7808123E-002, 1.9924869E-002
 2.5100000E+001, 7.3366575E+000, 4.1727893E+000, 1.1500000E+001, 2.9737725E+002, 3.0031532E+002, 3.0638042E+002, 3.1571881E+002, 3.2445838E+002, 3.3582962E+002, 4.1599815E+000, 8.6785487E+000, 2.1756377E+001, 3.7511601E+001, 4.6225398E+001, 5.4567436E+001,-8.2000000E+000, 1.4615847E-002, 9.8981747E-003, 1.5905706E-002, 3.2668425E-002, 4.5608300E-002, 1.2460336E-002, 1.1968636E-002, 2.1384426E-002, 3.2221974E-002, 3.5582006E-002
 2.9200000E+001, 6.5003766E+000, 4.3465167E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 6.4136415E-002, 4.8357473E-002, 5.4789170E-002, 7.0075754E-002, 7.6102835E-002, 2.6721686E-002, 2.8588625E-002, 4.2253857E-002, 4.7402308E-002, 4.4434554E-002
 3.3300000E+001, 5.2452911E+000, 4.1678604E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.3557686E-001, 1.6845257E-001, 1.5405465E-001, 1.4003105E-001, 1.1294302E-001, 5.1350652E-002, 7.3136989E-002, 8.8816000E-002, 7.5238611E-002, 5.2698373E-002
 3.7400000E+001, 3.8617655E+000, 3.7037751E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.4160952E+000, 6.0678656E-001, 4.4481532E-001, 2.7111679E-001, 1.5483855E-001, 3.9847028E-001, 3.9265186E-001, 2.7513353E-001, 1.4561189E-001, 6.4443833E-002
 4.1500000E+001, 2.6740903E+000, 3.0446457E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 2.2458740E+000, 2.0449349E+000, 1.7889111E+000, 5.0719447E-001, 1.8265410E-001, 1.0969213E-001, 2.0541347E-001, 4.6107380E-001, 3.2685878E-001, 7.4441781E-002
 4.5600000E+001, 1.4488094E+000, 1.9126592E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.4112122E+000, 6.1953922E-001, 4.4776073E-001, 2.5088057E-001, 1.4162981E-001, 4.2814610E-001, 4.1657280E-001, 2.6842029E-001, 1.2810900E-001, 5.7286447E-002
