Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.139E+02, 1.116E+02, 1.007E+01, 4.309E+01, 3.543E+01, 2.382E+01, 2.584E+02, 0.000E+00, 1.337E+03, 4.831E-01, 1.827E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    1, 3.304E+02, 1.838E+02, 9.510E+00, 3.750E+01, 3.569E+01, 1.955E+01, 1.305E+02, 0.000E+00, 1.236E+03, 4.025E-01, 1.878E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    2, 3.366E+02, 1.465E+02, 9.332E+00, 3.742E+01, 3.562E+01, 1.968E+01, 1.239E+02, 0.000E+00, 1.314E+03, 4.115E-01, 1.838E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    3, 3.312E+02, 1.631E+02, 9.256E+00, 3.791E+01, 3.547E+01, 1.979E+01, 1.282E+02, 0.000E+00, 1.357E+03, 4.236E-01, 1.779E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    4, 3.368E+02, 1.321E+02, 1.009E+01, 4.408E+01, 3.662E+01, 2.202E+01, 1.290E+02, 0.000E+00, 1.415E+03, 4.075E-01, 1.736E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    5, 3.312E+02, 1.786E+02, 9.372E+00, 3.988E+01, 3.426E+01, 1.975E+01, 1.321E+02, 0.000E+00, 1.251E+03, 4.099E-01, 1.864E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    6, 3.325E+02, 2.336E+02, 8.866E+00, 3.602E+01, 3.454E+01, 1.809E+01, 1.197E+02, 0.000E+00, 1.181E+03, 4.611E-01, 1.897E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    7, 3.260E+02, 3.657E+01, 9.236E+00, 3.654E+01, 3.553E+01, 9.215E+01, 9.206E+01, 0.000E+00, 1.404E+03, 3.566E+00, 1.826E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    8, 3.361E+02, 2.200E+02, 9.069E+00, 3.692E+01, 3.430E+01, 1.821E+01, 1.361E+02, 0.000E+00, 1.190E+03, 4.599E-01, 1.880E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
    9, 3.430E+02, 1.956E+02, 9.543E+00, 4.094E+01, 3.485E+01, 1.976E+01, 1.449E+02, 0.000E+00, 1.318E+03, 4.106E-01, 1.754E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   10, 3.438E+02, 1.615E+02, 9.539E+00, 4.093E+01, 3.379E+01, 2.033E+01, 1.441E+02, 0.000E+00, 1.306E+03, 4.386E-01, 1.801E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   11, 3.336E+02, 3.625E+01, 9.394E+00, 3.727E+01, 3.736E+01, 9.448E+01, 1.042E+02, 0.000E+00, 1.398E+03, 3.890E+00, 1.806E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   12, 3.001E+02, 3.649E+01, 9.465E+00, 3.771E+01, 3.758E+01, 9.414E+01, 1.256E+02, 0.000E+00, 1.396E+03, 3.969E+00, 1.820E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   13, 3.287E+02, 1.895E+02, 9.505E+00, 4.006E+01, 3.544E+01, 1.974E+01, 1.351E+02, 0.000E+00, 1.285E+03, 4.198E-01, 1.818E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   14, 3.388E+02, 2.045E+02, 9.292E+00, 3.980E+01, 3.419E+01, 1.983E+01, 1.302E+02, 0.000E+00, 1.346E+03, 4.143E-01, 1.739E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   15, 3.400E+02, 2.524E+02, 8.778E+00, 3.572E+01, 3.466E+01, 1.806E+01, 1.001E+02, 0.000E+00, 1.193E+03, 4.602E-01, 1.878E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   16, 3.221E+02, 3.660E+01, 9.447E+00, 3.684E+01, 3.581E+01, 9.207E+01, 9.840E+01, 0.000E+00, 1.407E+03, 3.652E+00, 1.819E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   17, 3.290E+02, 2.187E+02, 9.086E+00, 3.594E+01, 3.469E+01, 1.822E+01, 1.144E+02, 0.000E+00, 1.185E+03, 4.536E-01, 1.915E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   18, 3.384E+02, 2.074E+02, 9.363E+00, 3.977E+01, 3.541E+01, 1.977E+01, 1.256E+02, 0.000E+00, 1.325E+03, 4.130E-01, 1.760E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   19, 3.417E+02, 1.610E+02, 9.739E+00, 4.245E+01, 3.535E+01, 2.130E+01, 1.085E+02, 0.000E+00, 1.412E+03, 4.070E-01, 1.729E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   20, 3.406E+02, 2.227E+02, 9.435E+00, 4.027E+01, 3.507E+01, 1.951E+01, 9.873E+01, 0.000E+00, 1.329E+03, 4.298E-01, 1.766E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   21, 3.330E+02, 1.798E+02, 9.449E+00, 3.960E+01, 3.579E+01, 2.012E+01, 1.105E+02, 0.000E+00, 1.301E+03, 4.305E-01, 1.832E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   22, 3.419E+02, 2.023E+02, 9.478E+00, 3.994E+01, 3.590E+01, 1.957E+01, 1.160E+02, 0.000E+00, 1.347E+03, 4.224E-01, 1.749E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   23, 3.439E+02, 1.288E+02, 9.897E+00, 4.345E+01, 3.676E+01, 2.160E+01, 1.167E+02, 0.000E+00, 1.459E+03, 4.007E-01, 1.701E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   24, 3.418E+02, 2.061E+02, 9.682E+00, 4.177E+01, 3.426E+01, 2.084E+01, 1.051E+02, 0.000E+00, 1.350E+03, 3.981E-01, 1.751E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   25, 3.429E+02, 2.875E+02, 9.232E+00, 3.787E+01, 3.517E+01, 1.858E+01, 1.154E+02, 0.000E+00, 1.225E+03, 4.249E-01, 1.789E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   26, 3.520E+02, 2.298E+02, 9.471E+00, 3.785E+01, 3.524E+01, 1.876E+01, 1.092E+02, 0.000E+00, 1.197E+03, 4.337E-01, 1.872E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   27, 3.559E+02, 2.660E+02, 9.182E+00, 3.785E+01, 3.518E+01, 1.879E+01, 1.054E+02, 0.000E+00, 1.250E+03, 4.144E-01, 1.782E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   28, 3.374E+02, 2.150E+02, 9.580E+00, 4.194E+01, 3.545E+01, 2.051E+01, 1.049E+02, 0.000E+00, 1.353E+03, 3.887E-01, 1.743E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   29, 3.381E+02, 2.599E+02, 9.284E+00, 3.835E+01, 3.399E+01, 1.919E+01, 1.120E+02, 0.000E+00, 1.271E+03, 4.188E-01, 1.779E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   30, 3.413E+02, 1.285E+02, 9.000E+00, 3.437E+01, 3.415E+01, 1.757E+01, 1.044E+02, 0.000E+00, 1.277E+03, 2.379E+00, 1.913E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   31, 3.558E+02, 4.235E+01, 9.415E+00, 3.547E+01, 3.473E+01, 9.242E+01, 8.475E+01, 0.000E+00, 1.357E+03, 1.772E+01, 1.832E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   32, 3.362E+02, 1.168E+02, 9.203E+00, 3.389E+01, 3.409E+01, 1.726E+01, 1.006E+02, 0.000E+00, 1.206E+03, 2.237E+00, 2.005E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   33, 3.396E+02, 2.633E+02, 9.445E+00, 3.748E+01, 3.470E+01, 1.900E+01, 1.099E+02, 0.000E+00, 1.233E+03, 4.142E-01, 1.814E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   34, 3.425E+02, 2.273E+02, 9.535E+00, 3.782E+01, 3.359E+01, 1.922E+01, 1.214E+02, 0.000E+00, 1.183E+03, 4.191E-01, 1.887E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   35, 3.294E+02, 4.252E+01, 9.463E+00, 3.483E+01, 3.638E+01, 9.553E+01, 1.008E+02, 0.000E+00, 1.357E+03, 1.781E+01, 1.838E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   36, 3.156E+02, 4.127E+01, 9.871E+00, 3.622E+01, 3.628E+01, 9.573E+01, 1.050E+02, 0.000E+00, 1.300E+03, 1.891E+01, 1.902E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   37, 3.293E+02, 2.015E+02, 9.424E+00, 3.846E+01, 3.514E+01, 1.939E+01, 1.112E+02, 0.000E+00, 1.203E+03, 4.224E-01, 1.914E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   38, 3.413E+02, 2.672E+02, 9.398E+00, 3.845E+01, 3.411E+01, 1.920E+01, 1.132E+02, 0.000E+00, 1.268E+03, 4.222E-01, 1.770E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   39, 3.407E+02, 1.353E+02, 8.985E+00, 3.423E+01, 3.385E+01, 1.727E+01, 9.144E+01, 0.000E+00, 1.248E+03, 2.153E+00, 1.949E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   40, 3.341E+02, 4.266E+01, 9.659E+00, 3.568E+01, 3.456E+01, 9.287E+01, 8.683E+01, 0.000E+00, 1.340E+03, 1.812E+01, 1.867E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   41, 3.393E+02, 1.387E+02, 9.156E+00, 3.439E+01, 3.411E+01, 1.731E+01, 9.413E+01, 0.000E+00, 1.185E+03, 1.972E+00, 2.007E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   42, 3.510E+02, 2.676E+02, 9.367E+00, 3.843E+01, 3.523E+01, 1.907E+01, 1.133E+02, 0.000E+00, 1.246E+03, 4.137E-01, 1.781E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   43, 3.528E+02, 2.147E+02, 9.568E+00, 4.139E+01, 3.479E+01, 2.079E+01, 1.089E+02, 0.000E+00, 1.357E+03, 4.005E-01, 1.721E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   44, 3.321E+02, 2.864E+02, 9.258E+00, 3.797E+01, 3.452E+01, 1.867E+01, 9.889E+01, 0.000E+00, 1.258E+03, 4.246E-01, 1.785E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   45, 3.382E+02, 2.379E+02, 9.497E+00, 3.776E+01, 3.493E+01, 1.882E+01, 9.900E+01, 0.000E+00, 1.195E+03, 4.257E-01, 1.889E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   46, 3.417E+02, 2.905E+02, 9.241E+00, 3.779E+01, 3.512E+01, 1.863E+01, 1.110E+02, 0.000E+00, 1.232E+03, 4.203E-01, 1.785E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   47, 3.494E+02, 1.917E+02, 9.460E+00, 4.151E+01, 3.609E+01, 2.057E+01, 1.132E+02, 0.000E+00, 1.395E+03, 4.223E-01, 1.704E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   48, 3.515E+02, 1.795E+02, 9.433E+00, 4.926E+01, 2.876E+01, 1.960E+01, 1.173E+02, 0.000E+00, 1.135E+03, 4.362E-01, 1.971E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   49, 3.396E+02, 1.863E+02, 9.447E+00, 4.914E+01, 2.844E+01, 1.926E+01, 1.229E+02, 0.000E+00, 1.111E+03, 4.219E-01, 1.995E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   50, 3.493E+02, 2.003E+02, 9.428E+00, 4.903E+01, 2.827E+01, 1.939E+01, 1.236E+02, 0.000E+00, 1.123E+03, 4.322E-01, 1.959E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   51, 3.459E+02, 1.936E+02, 9.397E+00, 4.882E+01, 2.825E+01, 1.946E+01, 1.191E+02, 0.000E+00, 1.128E+03, 4.288E-01, 1.969E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   52, 3.392E+02, 9.913E+01, 9.939E+00, 4.299E+01, 2.753E+01, 2.000E+01, 1.126E+02, 0.000E+00, 1.522E+03, 3.609E+01, 1.652E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   53, 3.248E+02, 1.034E+02, 9.618E+00, 4.282E+01, 2.820E+01, 1.956E+01, 1.332E+02, 0.000E+00, 1.545E+03, 3.493E+01, 1.620E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   54, 3.440E+02, 1.001E+02, 9.870E+00, 4.311E+01, 2.817E+01, 1.946E+01, 1.224E+02, 0.000E+00, 1.526E+03, 3.542E+01, 1.633E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   55, 3.412E+02, 1.045E+02, 9.728E+00, 4.286E+01, 2.817E+01, 1.918E+01, 1.198E+02, 0.000E+00, 1.539E+03, 3.521E+01, 1.621E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   56, 3.476E+02, 3.831E+01, 9.678E+00, 3.650E+01, 2.730E+01, 1.951E+01, 1.113E+02, 0.000E+00, 1.527E+03, 5.077E+01, 1.693E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   57, 3.406E+02, 3.881E+01, 9.635E+00, 3.692E+01, 2.801E+01, 1.900E+01, 1.186E+02, 0.000E+00, 1.503E+03, 4.895E+01, 1.717E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   58, 3.560E+02, 3.852E+01, 9.828E+00, 3.653E+01, 2.789E+01, 1.930E+01, 1.148E+02, 0.000E+00, 1.550E+03, 4.958E+01, 1.659E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   59, 3.567E+02, 3.840E+01, 9.752E+00, 3.588E+01, 2.767E+01, 1.921E+01, 1.092E+02, 0.000E+00, 1.505E+03, 4.934E+01, 1.710E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   60, 3.441E+02, 4.020E+01, 9.521E+00, 3.602E+01, 2.716E+01, 1.970E+01, 1.130E+02, 0.000E+00, 1.609E+03, 5.176E+01, 1.611E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   61, 3.395E+02, 4.002E+01, 9.664E+00, 3.588E+01, 2.763E+01, 1.887E+01, 1.200E+02, 0.000E+00, 1.600E+03, 5.022E+01, 1.619E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   62, 3.536E+02, 4.027E+01, 9.673E+00, 3.586E+01, 2.754E+01, 1.880E+01, 1.169E+02, 0.000E+00, 1.590E+03, 4.983E+01, 1.618E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
   63, 3.563E+02, 3.982E+01, 9.427E+00, 3.565E+01, 2.749E+01, 1.935E+01, 1.105E+02, 0.000E+00, 1.582E+03, 4.898E+01, 1.631E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.861E+03
