s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000, 4.5657911E-001, 2.6960045E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5657911E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0075686E-001, 2.9639818E+000,-1.9773202E-001,-1.9744931E-002,-9.4389565E-002,-1.4981481E-004, 0.0000000E+000, 0.0000000E+000, 2.4672223E+000, 2.6519655E+000, 0.0000000E+000, 7.9348800E-005, 0.0000000E+000, 0.0000000E+000
 1.0019127E+000, 8.0358241E+000,-1.5976530E+000,-6.6364696E-001,-1.5677473E-001,-3.5135315E-004, 0.0000000E+000, 0.0000000E+000, 4.7711764E+000, 5.6173981E+000, 0.0000000E+000, 2.0067849E-004, 0.0000000E+000, 0.0000000E+000
 1.5012596E+000, 1.1735523E+001,-2.7398225E+000,-8.4147266E+000,-1.7556896E-001,-4.4831181E-004, 0.0000000E+000, 0.0000000E+000, 8.7138830E-002, 4.0495705E-001, 0.0000000E+000, 2.6935811E-004, 0.0000000E+000, 0.0000000E+000
 2.0016351E+000, 1.3319362E+001,-3.1738462E+000,-8.7402641E+000,-1.7273458E-001,-4.8656021E-004, 0.0000000E+000, 0.0000000E+000, 9.4119656E-001, 1.2320307E+000, 0.0000000E+000, 2.9976972E-004, 0.0000000E+000, 0.0000000E+000
 2.5007942E+000, 1.4219349E+001,-3.2580108E+000,-9.8481397E+000,-1.8341659E-001,-4.9564792E-004, 0.0000000E+000, 0.0000000E+000, 5.7900316E-001, 9.2928604E-001, 0.0000000E+000, 3.1183914E-004, 0.0000000E+000, 0.0000000E+000
 3.0012178E+000, 1.4489682E+001,-3.2805403E+000,-1.0046024E+001,-1.7947943E-001,-4.9823040E-004, 0.0000000E+000, 0.0000000E+000, 6.5513134E-001, 9.8314004E-001, 0.0000000E+000, 3.1640859E-004, 0.0000000E+000, 0.0000000E+000
 3.5004082E+000, 1.4385833E+001,-3.3053057E+000,-9.8425608E+000,-1.8359493E-001,-5.0765781E-004, 0.0000000E+000, 0.0000000E+000, 5.9927291E-001, 1.0538642E+000, 0.0000000E+000, 3.1810892E-004, 0.0000000E+000, 0.0000000E+000
 4.0003853E+000, 1.4576787E+001,-3.3536719E+000,-1.0310065E+001,-1.8782713E-001,-5.0372705E-004, 0.0000000E+000, 0.0000000E+000,-1.9228972E-003, 7.2472009E-001, 0.0000000E+000, 3.1873686E-004, 0.0000000E+000, 0.0000000E+000
