Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.079E+02, 3.746E+01, 9.863E+00, 4.218E+01, 3.454E+01, 2.337E+01, 2.499E+02, 0.000E+00, 7.438E+02, 4.997E-01, 1.516E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    1, 3.237E+02, 3.475E+01, 9.239E+00, 3.677E+01, 3.502E+01, 1.926E+01, 1.250E+02, 0.000E+00, 7.091E+02, 4.307E-01, 1.572E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    2, 3.292E+02, 3.456E+01, 9.271E+00, 3.679E+01, 3.483E+01, 1.903E+01, 1.186E+02, 0.000E+00, 7.130E+02, 4.408E-01, 1.570E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    3, 3.207E+02, 3.463E+01, 9.049E+00, 3.727E+01, 3.475E+01, 1.902E+01, 1.248E+02, 0.000E+00, 7.444E+02, 4.307E-01, 1.540E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    4, 3.243E+02, 3.626E+01, 9.800E+00, 4.280E+01, 3.576E+01, 2.072E+01, 1.267E+02, 0.000E+00, 7.808E+02, 3.958E-01, 1.488E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    5, 3.217E+02, 3.490E+01, 9.190E+00, 3.931E+01, 3.363E+01, 1.965E+01, 1.257E+02, 0.000E+00, 7.155E+02, 4.330E-01, 1.565E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    6, 3.238E+02, 3.358E+01, 8.789E+00, 3.553E+01, 3.394E+01, 1.752E+01, 1.149E+02, 0.000E+00, 6.946E+02, 4.938E-01, 1.602E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    7, 3.190E+02, 4.338E+01, 9.006E+00, 3.617E+01, 3.502E+01, 9.490E+01, 9.711E+01, 0.000E+00, 7.427E+02, 3.797E+00, 1.484E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    8, 3.260E+02, 3.342E+01, 8.768E+00, 3.614E+01, 3.368E+01, 1.897E+01, 1.345E+02, 0.000E+00, 6.962E+02, 4.802E-01, 1.577E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
    9, 3.347E+02, 3.440E+01, 9.288E+00, 4.028E+01, 3.444E+01, 1.914E+01, 1.383E+02, 0.000E+00, 7.555E+02, 4.309E-01, 1.499E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   10, 3.344E+02, 3.480E+01, 9.245E+00, 4.014E+01, 3.310E+01, 1.984E+01, 1.390E+02, 0.000E+00, 7.199E+02, 4.366E-01, 1.534E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   11, 3.248E+02, 4.069E+01, 9.155E+00, 3.740E+01, 3.673E+01, 9.893E+01, 1.147E+02, 0.000E+00, 7.270E+02, 4.578E+00, 1.471E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   12, 3.057E+02, 4.007E+01, 9.196E+00, 3.787E+01, 3.738E+01, 9.943E+01, 1.237E+02, 0.000E+00, 7.267E+02, 4.194E+00, 1.481E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   13, 3.211E+02, 3.493E+01, 9.193E+00, 3.944E+01, 3.469E+01, 1.948E+01, 1.305E+02, 0.000E+00, 7.328E+02, 4.317E-01, 1.543E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   14, 3.306E+02, 3.481E+01, 9.075E+00, 3.921E+01, 3.368E+01, 1.989E+01, 1.250E+02, 0.000E+00, 7.519E+02, 4.556E-01, 1.521E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   15, 3.319E+02, 3.400E+01, 8.590E+00, 3.508E+01, 3.407E+01, 1.785E+01, 9.685E+01, 0.000E+00, 7.142E+02, 4.935E-01, 1.592E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   16, 3.151E+02, 4.353E+01, 9.369E+00, 3.662E+01, 3.513E+01, 9.633E+01, 1.055E+02, 0.000E+00, 7.440E+02, 4.069E+00, 1.476E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   17, 3.228E+02, 3.376E+01, 8.897E+00, 3.523E+01, 3.400E+01, 1.784E+01, 1.117E+02, 0.000E+00, 6.919E+02, 5.073E-01, 1.609E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
