s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000, 4.8992679E-001, 2.6960045E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8992679E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0138021E-001, 2.9626504E+000,-2.1172464E-001,-2.0291761E-002,-9.3837927E-002,-1.4992451E-004, 0.0000000E+000, 0.0000000E+000, 2.4542275E+000, 2.6366461E+000, 0.0000000E+000, 7.9435767E-005, 0.0000000E+000, 0.0000000E+000
 1.0002149E+000, 8.0139309E+000,-1.7171047E+000,-6.2457488E-001,-1.5526173E-001,-3.5115666E-004, 0.0000000E+000, 0.0000000E+000, 4.6864553E+000, 5.5166384E+000, 0.0000000E+000, 2.0059817E-004, 0.0000000E+000, 0.0000000E+000
 1.5000118E+000, 1.1742600E+001,-2.9738364E+000,-8.3090006E+000,-1.7509331E-001,-4.4807920E-004, 0.0000000E+000, 0.0000000E+000,-5.5213509E-003, 2.8422184E-001, 0.0000000E+000, 2.6921999E-004, 0.0000000E+000, 0.0000000E+000
 2.0019207E+000, 1.3316853E+001,-3.3604174E+000,-8.9016281E+000,-1.7169455E-001,-4.8665264E-004, 0.0000000E+000, 0.0000000E+000, 6.0908140E-001, 8.8262659E-001, 0.0000000E+000, 2.9974833E-004, 0.0000000E+000, 0.0000000E+000
 2.5010870E+000, 1.4312286E+001,-3.4529810E+000,-8.4109901E+000,-1.7373728E-001,-4.9366932E-004, 0.0000000E+000, 0.0000000E+000, 1.7244441E+000, 2.2740842E+000, 0.0000000E+000, 3.1184304E-004, 0.0000000E+000, 0.0000000E+000
 3.0016525E+000, 1.4247673E+001,-3.4474265E+000,-1.0163092E+001,-1.9411311E-001,-5.0261307E-004, 0.0000000E+000, 0.0000000E+000,-2.3116701E-001, 4.4253873E-001, 0.0000000E+000, 3.1641021E-004, 0.0000000E+000, 0.0000000E+000
 3.5018709E+000, 1.4414490E+001,-3.4924875E+000,-9.9061818E+000,-1.8052487E-001,-4.9763874E-004, 0.0000000E+000, 0.0000000E+000, 3.2127002E-001, 8.3479810E-001, 0.0000000E+000, 3.1811070E-004, 0.0000000E+000, 0.0000000E+000
 4.0013738E+000, 1.4564774E+001,-3.6828064E+000,-1.0293579E+001,-1.8219700E-001,-5.0355294E-004, 0.0000000E+000, 0.0000000E+000,-1.9703867E-001, 4.0568758E-001, 0.0000000E+000, 3.1873779E-004, 0.0000000E+000, 0.0000000E+000
