cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.3855061E+001, 1.0712962E+000,-5.0000000E-001, 1.2623217E+003, 1.3438797E+003, 1.3542040E+003, 1.2105630E+003, 9.8120662E+002, 7.9063971E+002, 8.2221474E+001, 6.8414770E+001, 1.4022086E+002, 2.5251929E+002, 2.7068988E+002, 2.2270377E+002,-2.0500000E+001, 9.4367681E-009, 2.3573929E-008, 7.1079138E-008, 2.0146569E-006, 3.5050046E-005, 5.0721581E-009, 1.2290968E-008, 1.8150176E-007, 2.7786720E-006, 9.9734827E-005
 4.6000000E+000, 1.4614126E+001, 1.9424070E+000, 1.5000000E+000, 1.2828783E+003, 1.3444789E+003, 1.3449050E+003, 1.1624935E+003, 9.3946212E+002, 7.6971138E+002, 8.4328355E+001, 1.1024488E+002, 1.6169160E+002, 2.6266645E+002, 2.6668694E+002, 2.2745554E+002,-1.8450000E+001, 8.6431929E-007, 1.3400066E-006, 5.5734511E-006, 9.9267222E-005, 1.0298701E-003, 3.7483233E-007, 7.0077695E-007, 2.0616931E-005, 1.9497102E-004, 2.9017829E-003
 8.7000000E+000, 1.3034367E+001, 2.8369222E+000, 3.5000000E+000, 1.2568148E+003, 1.0799278E+003, 9.5614205E+002, 8.3562315E+002, 7.3813374E+002, 6.5089299E+002, 2.3722323E+002, 2.7704491E+002, 2.9968514E+002, 2.9763628E+002, 2.5473931E+002, 2.0138046E+002,-1.6400000E+001, 8.6431929E-007, 1.3400066E-006, 5.5734511E-006, 9.9267222E-005, 1.0298701E-003, 3.7483233E-007, 7.0077695E-007, 2.0616931E-005, 1.9497102E-004, 2.9017829E-003
 1.2800000E+001, 1.0595013E+001, 3.1690146E+000, 5.5000000E+000, 6.3046363E+002, 5.8819250E+002, 5.8275735E+002, 5.9058105E+002, 5.7413346E+002, 5.4314885E+002, 1.7292081E+002, 1.7328882E+002, 2.0140756E+002, 2.3250887E+002, 2.1802394E+002, 1.7519826E+002,-1.4350000E+001, 5.4771876E-005, 5.6549490E-005, 2.5631683E-004, 2.1209136E-003, 7.5203383E-003, 2.4019459E-005, 4.7647558E-005, 1.1412739E-003, 4.0562383E-003, 1.1908125E-002
 1.6900000E+001, 9.1820900E+000, 3.0779380E+000, 7.5000000E+000, 3.8743542E+002, 3.9411449E+002, 4.1106405E+002, 4.3978459E+002, 4.5232893E+002, 4.4965658E+002, 8.1206002E+001, 9.2388052E+001, 1.0634637E+002, 1.4513353E+002, 1.5625844E+002, 1.4039859E+002,-1.2300000E+001, 5.4771876E-005, 5.6549490E-005, 2.5631683E-004, 2.1209136E-003, 7.5203383E-003, 2.4019459E-005, 4.7647558E-005, 1.1412739E-003, 4.0562383E-003, 1.1908125E-002
 2.1000000E+001, 8.5990728E+000, 3.2264895E+000, 9.5000000E+000, 3.1696716E+002, 3.2183229E+002, 3.3338565E+002, 3.5691928E+002, 3.7284037E+002, 3.8137320E+002, 4.1886734E+001, 5.1207609E+001, 5.5673449E+001, 7.9428782E+001, 1.0239502E+002, 1.0781727E+002,-1.0250000E+001, 1.2264694E-003, 1.0894848E-003, 3.3351485E-003, 1.2744667E-002, 2.3190680E-002, 1.0041646E-003, 1.9087449E-003, 9.7388065E-003, 1.8003762E-002, 2.5235626E-002
 2.5100000E+001, 7.8444780E+000, 3.9555569E+000, 1.1500000E+001, 2.9794717E+002, 3.0082441E+002, 3.0394864E+002, 3.1403817E+002, 3.2503003E+002, 3.3432640E+002, 1.2360944E+001, 2.1019855E+001, 2.4226722E+001, 3.3938701E+001, 4.8408344E+001, 6.1482935E+001,-8.2000000E+000, 1.5037386E-002, 1.0055254E-002, 1.6064028E-002, 3.6152097E-002, 4.8103609E-002, 1.0979649E-002, 1.0813540E-002, 1.9231026E-002, 3.4704706E-002, 3.7993062E-002
 2.9200000E+001, 7.0754082E+000, 4.4894972E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 6.3871016E-002, 5.1022892E-002, 5.7482529E-002, 7.5362480E-002, 8.1619554E-002, 2.3745046E-002, 3.2583601E-002, 4.0857195E-002, 5.5208031E-002, 4.8570757E-002
 3.3300000E+001, 5.9625468E+000, 4.6434484E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.4213637E-001, 1.7875869E-001, 1.5840666E-001, 1.4384380E-001, 1.1979452E-001, 4.7419695E-002, 8.2625115E-002, 8.8633211E-002, 8.8395144E-002, 5.9473926E-002
 3.7400000E+001, 4.5740086E+000, 4.2876348E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.4576051E+000, 6.4608172E-001, 4.6544971E-001, 2.8298797E-001, 1.5956049E-001, 4.0479651E-001, 4.1472985E-001, 3.0496025E-001, 1.7433265E-001, 6.4517522E-002
 4.1500000E+001, 3.2308674E+000, 3.6143650E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 2.2665171E+000, 2.0699165E+000, 1.8390294E+000, 5.6663519E-001, 1.9245694E-001, 1.1547041E-001, 1.6703734E-001, 4.1107239E-001, 3.6652629E-001, 7.1831829E-002
