,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-10-23T13:00:17.063-06:00,   0.167E-01,   0.01668,   0.494E+00
      2,2021-10-23T13:00:17.598-06:00,   0.184E-01,   0.03503,   0.621E+00
      3,2021-10-23T13:00:18.491-06:00,   0.202E-01,   0.05522,   0.785E+00
      4,2021-10-23T13:00:19.151-06:00,   0.222E-01,   0.07743,   0.915E+00
      5,2021-10-23T13:00:19.627-06:00,   0.244E-01,   0.10185,   0.103E+01
      6,2021-10-23T13:00:20.245-06:00,   0.269E-01,   0.12872,   0.119E+01
      7,2021-10-23T13:00:20.528-06:00,   0.283E-01,   0.15697,   0.130E+01
      8,2021-10-23T13:00:20.826-06:00,   0.283E-01,   0.18523,   0.142E+01
      9,2021-10-23T13:00:21.410-06:00,   0.283E-01,   0.21348,   0.157E+01
     10,2021-10-23T13:00:21.715-06:00,   0.283E-01,   0.24173,   0.169E+01
     20,2021-10-23T13:00:25.684-06:00,   0.903E-02,   0.37113,   0.291E+01
     30,2021-10-23T13:00:29.249-06:00,   0.536E-02,   0.44221,   0.367E+01
     40,2021-10-23T13:00:32.137-06:00,   0.326E-02,   0.48506,   0.420E+01
     50,2021-10-23T13:00:34.758-06:00,   0.326E-02,   0.51770,   0.461E+01
     60,2021-10-23T13:00:37.875-06:00,   0.359E-02,   0.55132,   0.517E+01
     70,2021-10-23T13:00:40.746-06:00,   0.353E-02,   0.58968,   0.568E+01
     80,2021-10-23T13:00:43.730-06:00,   0.281E-02,   0.62047,   0.622E+01
     90,2021-10-23T13:00:46.844-06:00,   0.253E-02,   0.64686,   0.669E+01
    100,2021-10-23T13:00:49.587-06:00,   0.220E-02,   0.66886,   0.712E+01
    200,2021-10-23T13:01:18.670-06:00,   0.186E-02,   0.89906,   0.116E+02
    300,2021-10-23T13:01:48.949-06:00,   0.247E-02,   1.11969,   0.162E+02
    400,2021-10-23T13:02:18.619-06:00,   0.214E-02,   1.34244,   0.209E+02
    500,2021-10-23T13:02:48.112-06:00,   0.209E-02,   1.54047,   0.253E+02
    600,2021-10-23T13:03:17.409-06:00,   0.209E-02,   1.74942,   0.298E+02
    700,2021-10-23T13:03:46.629-06:00,   0.230E-02,   1.96381,   0.344E+02
    800,2021-10-23T13:04:16.181-06:00,   0.201E-02,   2.16643,   0.388E+02
    900,2021-10-23T13:04:45.345-06:00,   0.182E-02,   2.37328,   0.433E+02
   1000,2021-10-23T13:05:14.019-06:00,   0.198E-02,   2.57434,   0.477E+02
   1100,2021-10-23T13:05:42.766-06:00,   0.214E-02,   2.77913,   0.521E+02
   1200,2021-10-23T13:06:12.883-06:00,   0.230E-02,   2.97404,   0.566E+02
   1300,2021-10-23T13:06:42.069-06:00,   0.181E-02,   3.18755,   0.612E+02
   1400,2021-10-23T13:07:10.987-06:00,   0.202E-02,   3.39134,   0.656E+02
