#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 6.7001366E+000, 8.9846028E-001,-5.0000000E-001, 1.3220512E+003, 1.3920361E+003, 1.3811902E+003, 1.1988469E+003, 9.7535484E+002, 8.0326428E+002, 8.0086225E+001, 7.1402097E+001, 1.5242686E+002, 2.7748170E+002, 3.0385014E+002, 2.6051900E+002,-2.0500000E+001, 4.0588092E-009, 1.1695395E-008, 3.9595019E-008, 3.6998659E-006, 1.4745479E-005, 2.3601120E-009, 4.7244266E-009, 5.9947639E-008, 9.5590229E-006, 2.0998675E-005
 4.6000000E+000, 1.1620251E+001, 2.1081383E+000, 1.5000000E+000, 1.3253607E+003, 1.3946731E+003, 1.3903690E+003, 1.2163904E+003, 9.9491141E+002, 8.1120919E+002, 8.1725352E+001, 6.7425123E+001, 1.2337195E+002, 2.7389264E+002, 2.8612810E+002, 2.4352099E+002,-1.8450000E+001, 4.9833929E-007, 7.5036428E-007, 4.1997305E-006, 1.8416389E-004, 5.8925707E-004, 2.4919956E-007, 2.4619153E-007, 9.8269862E-006, 5.2807305E-004, 7.8384265E-004
 8.7000000E+000, 1.1400924E+001, 2.9957997E+000, 3.5000000E+000, 1.3248484E+003, 1.1579565E+003, 1.0310802E+003, 9.0794643E+002, 8.0618365E+002, 7.1170034E+002, 2.1673164E+002, 2.7619464E+002, 3.0569934E+002, 3.0277591E+002, 2.7046948E+002, 2.3464471E+002,-1.6400000E+001, 4.9833929E-007, 7.5036428E-007, 4.1997305E-006, 1.8416389E-004, 5.8925707E-004, 2.4919956E-007, 2.4619153E-007, 9.8269862E-006, 5.2807305E-004, 7.8384265E-004
 1.2800000E+001, 9.7102547E+000, 3.4403468E+000, 5.5000000E+000, 6.5825788E+002, 6.2306525E+002, 6.2242521E+002, 6.1982057E+002, 5.9891583E+002, 5.6946127E+002, 1.8261273E+002, 1.9783690E+002, 2.1963174E+002, 2.2465596E+002, 2.0321049E+002, 1.8386583E+002,-1.4350000E+001, 3.7920977E-005, 3.7755268E-005, 2.5182477E-004, 2.7027701E-003, 6.9496426E-003, 1.7742805E-005, 1.7677589E-005, 7.6378243E-004, 6.1032598E-003, 7.0864429E-003
 1.6900000E+001, 8.5876793E+000, 3.3955109E+000, 7.5000000E+000, 3.8092940E+002, 3.9785418E+002, 4.1879020E+002, 4.4736081E+002, 4.5420360E+002, 4.5505270E+002, 6.3449704E+001, 9.0163380E+001, 1.0583449E+002, 1.3286537E+002, 1.3453348E+002, 1.3132614E+002,-1.2300000E+001, 3.7920977E-005, 3.7755268E-005, 2.5182477E-004, 2.7027701E-003, 6.9496426E-003, 1.7742805E-005, 1.7677589E-005, 7.6378243E-004, 6.1032598E-003, 7.0864429E-003
 2.1000000E+001, 8.0364677E+000, 3.3604370E+000, 9.5000000E+000, 3.0971893E+002, 3.1965237E+002, 3.3115735E+002, 3.5159453E+002, 3.6510943E+002, 3.7675327E+002, 1.8200704E+001, 3.6158772E+001, 4.2274261E+001, 6.2730511E+001, 7.9709728E+001, 8.5925550E+001,-1.0250000E+001, 8.4081458E-004, 9.7414796E-004, 2.7719142E-003, 1.1131424E-002, 2.1344004E-002, 7.1409941E-004, 1.4840828E-003, 6.7783405E-003, 1.5217628E-002, 2.3099801E-002
 2.5100000E+001, 7.2911672E+000, 3.8776069E+000, 1.1500000E+001, 2.9674742E+002, 2.9911388E+002, 3.0155534E+002, 3.0875651E+002, 3.1632501E+002, 3.2510469E+002, 3.0384197E+000, 8.9983543E+000, 1.1198814E+001, 2.0443897E+001, 3.2140673E+001, 4.2496271E+001,-8.2000000E+000, 1.1126566E-002, 8.7018573E-003, 1.3773588E-002, 3.5038986E-002, 4.7628909E-002, 8.9069614E-003, 9.6133016E-003, 1.8079629E-002, 3.3672379E-002, 3.7623264E-002
 2.9200000E+001, 6.5680913E+000, 4.2318414E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.6012794E-002, 4.7707082E-002, 5.2256119E-002, 7.4686838E-002, 7.9317418E-002, 2.3426528E-002, 3.1481147E-002, 3.8592079E-002, 5.2671788E-002, 4.8844653E-002
 3.3300000E+001, 5.4301579E+000, 4.3014651E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.1656179E-001, 1.6397934E-001, 1.4864151E-001, 1.4500128E-001, 1.1713974E-001, 5.3912959E-002, 8.0597463E-002, 8.1231788E-002, 8.7010551E-002, 6.1928575E-002
 3.7400000E+001, 4.0804675E+000, 3.9246288E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.1999693E+000, 5.7165532E-001, 4.2860943E-001, 2.7787321E-001, 1.5975570E-001, 4.3879518E-001, 3.9502055E-001, 2.7408560E-001, 1.6904188E-001, 7.5948983E-002
