#cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
#z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 7.8513765E+000, 9.9608862E-001,-5.0000000E-001, 1.3019846E+003, 1.3739373E+003, 1.3618614E+003, 1.1642323E+003, 9.4981247E+002, 7.8090506E+002, 8.7851148E+001, 7.2352588E+001, 1.5313096E+002, 2.8876006E+002, 2.8005376E+002, 2.2591161E+002,-2.0500000E+001, 6.6243989E-009, 2.0934028E-008, 4.2946696E-008, 1.4183956E-006, 2.7620314E-005, 4.4621267E-009, 1.5990152E-008, 2.3691527E-008, 1.5007670E-006, 7.7626551E-005
 4.6000000E+000, 1.2304351E+001, 2.3257607E+000, 1.5000000E+000, 1.3147983E+003, 1.3780938E+003, 1.3611845E+003, 1.1462333E+003, 9.2507583E+002, 7.6112808E+002, 8.8050680E+001, 7.9849843E+001, 1.6300314E+002, 2.8981156E+002, 2.8768582E+002, 2.2417015E+002,-1.8450000E+001, 6.7570456E-007, 1.1428172E-006, 2.8194960E-006, 8.2905275E-005, 9.5655729E-004, 3.8564984E-007, 7.6869563E-007, 2.6683041E-006, 1.2547785E-004, 2.6344167E-003
 8.7000000E+000, 1.1842942E+001, 3.1515126E+000, 3.5000000E+000, 1.2503961E+003, 1.0956830E+003, 9.8446496E+002, 8.7208871E+002, 7.6254173E+002, 6.6778221E+002, 2.4364028E+002, 2.7667282E+002, 3.0858379E+002, 3.1488314E+002, 2.7506141E+002, 2.1445199E+002,-1.6400000E+001, 6.7570456E-007, 1.1428172E-006, 2.8194960E-006, 8.2905275E-005, 9.5655729E-004, 3.8564984E-007, 7.6869563E-007, 2.6683041E-006, 1.2547785E-004, 2.6344167E-003
 1.2800000E+001, 1.0457390E+001, 3.4750596E+000, 5.5000000E+000, 6.3486908E+002, 6.0919364E+002, 6.1861621E+002, 6.2200731E+002, 5.9733605E+002, 5.5979909E+002, 2.0275067E+002, 2.1099985E+002, 2.4120188E+002, 2.4833735E+002, 2.2463968E+002, 1.8710068E+002,-1.4350000E+001, 4.6300212E-005, 4.4544649E-005, 1.4470015E-004, 1.7861682E-003, 8.3605756E-003, 2.5474641E-005, 2.7697459E-005, 2.1846975E-004, 2.6190302E-003, 1.0076967E-002
 1.6900000E+001, 9.7125035E+000, 3.6685557E+000, 7.5000000E+000, 3.8623952E+002, 4.0831086E+002, 4.3329344E+002, 4.5997512E+002, 4.6673173E+002, 4.6385406E+002, 9.0762953E+001, 1.2374212E+002, 1.5116530E+002, 1.7044132E+002, 1.6003309E+002, 1.5018661E+002,-1.2300000E+001, 4.6300212E-005, 4.4544649E-005, 1.4470015E-004, 1.7861682E-003, 8.3605756E-003, 2.5474641E-005, 2.7697459E-005, 2.1846975E-004, 2.6190302E-003, 1.0076967E-002
 2.1000000E+001, 9.2577328E+000, 3.9793149E+000, 9.5000000E+000, 3.1252605E+002, 3.2815779E+002, 3.4685000E+002, 3.7255453E+002, 3.8572211E+002, 3.9307769E+002, 2.3589118E+001, 5.4239127E+001, 8.5796591E+001, 1.0864766E+002, 1.0812054E+002, 1.0176586E+002,-1.0250000E+001, 9.3210056E-004, 1.0803644E-003, 3.4267191E-003, 1.2659777E-002, 2.5413011E-002, 7.6085333E-004, 1.8031773E-003, 8.9211049E-003, 1.7100185E-002, 2.6241618E-002
 2.5100000E+001, 8.1262929E+000, 4.2507260E+000, 1.1500000E+001, 2.9613443E+002, 3.0041040E+002, 3.0861964E+002, 3.2377394E+002, 3.3356842E+002, 3.4060560E+002, 2.1987458E+000, 1.3156426E+001, 3.3577178E+001, 6.0165518E+001, 6.2660412E+001, 5.7931551E+001,-8.2000000E+000, 1.3231555E-002, 9.6386726E-003, 1.6905575E-002, 4.0192879E-002, 5.2659882E-002, 1.0524029E-002, 1.0349667E-002, 2.2359489E-002, 3.2375550E-002, 3.8712234E-002
 2.9200000E+001, 6.9750548E+000, 4.5547704E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.7495168E-002, 5.1930408E-002, 6.0786769E-002, 8.3049191E-002, 8.4292528E-002, 2.3977769E-002, 3.1706280E-002, 4.3522163E-002, 5.1065068E-002, 4.6963808E-002
 3.3300000E+001, 5.6285127E+000, 4.5849357E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.2670726E-001, 1.7228959E-001, 1.6075655E-001, 1.5046347E-001, 1.1932666E-001, 7.2109223E-002, 8.2752168E-002, 9.1634957E-002, 8.0866252E-002, 5.3363766E-002
 3.7400000E+001, 4.1844381E+000, 4.2044096E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.2684780E+000, 6.4710164E-001, 4.7412654E-001, 2.7651515E-001, 1.5590410E-001, 4.8759649E-001, 4.6168573E-001, 3.1891544E-001, 1.5223141E-001, 5.9375120E-002
